No,Chinese,Pinyin,English,Level
89,上,shàng,"to go up, to attend, to climb, on, upon, previous, upper",1
90,商店,shāng diàn,"shop, store",1
91,上午,shàng wǔ,morning,1
92,少,shǎo,"few, little",1
93,谁,shéi,who,1
94,什么,shén me,what,1
95,十,shí,10,1
96,是,shì,"is, to be",1
97,时候,shí hou,"time, moment, period",1
98,书,shū,book,1
99,水,shuǐ,Water,1
100,水果,shuǐ guǒ,fruit,1
101,睡觉,shuì jiào,"to sleep, to go to bed",1
102,说话,shuō huà,"to speak, to talk, to gossip",1
103,四,sì,4,1
104,岁,suì,"Measure, ""years old""",1
105,他,tā,he,1
106,她,tā,she,1
107,太,tài,"too, extremely",1
108,天气,tiān qì,weather,1
109,听,tīng,"to listen, to hear, to obey Measure, for canned beverages",1
110,同学,tóng xué,classmate,1
111,喂,wèi,"to feed, to breed, hello",1
112,我,wǒ,I,1
113,我们,wǒ men,we,1
114,五,wǔ,5,1
115,喜欢,xǐ huan,to like,1
116,下,xià,"descend, fall Measure, for times of action, below, down, under",1
117,下午,xià wǔ,afternoon,1
118,下雨,xià yǔ,to rain,1
119,先生,xiān sheng,"Mister (Mr.), teacher",1
120,现在,xiàn zài,now,1
121,想,xiǎng,"to think, to miss Auxiliary, to want",1
122,小,xiǎo,small,1
123,小姐,xiǎo jiě,"Miss, young lady",1
124,写,xiě,to write,1
125,些,xiē,"Measure, some, few, several",1
126,谢谢,xiè xie,thanks!,1
127,星期,xīng qī,week,1
128,学生,xué sheng,"student, pupil",1
129,学习,xué xí,"to study, to learn",1
130,学校,xué xiào,school,1
131,一,yī,1,1
132,衣服,yī fu,clothes,1
133,医生,yī shēng,doctor,1
134,医院,yī yuàn,hospital,1
135,椅子,yǐ zi,chair,1
136,有,yǒu,"to have, to exist, to be",1
137,月,yuè,"month, moon",1
138,在,zài,"at, on, in, for action in progress",1
139,再见,zài jiàn,"goodbye, see you",1
140,怎么,zěn me,how,1
141,怎么样,zěn me yàng,"how is/are, how about that?",1
142,这,zhè,this,1
143,中国,Zhōng guó,China,1
144,中午,zhōng wǔ,"noon, midday",1
145,住,zhù,"to live, to stay, to reside",1
146,桌子,zhuō zi,table,1
147,字,zì,"word, character",1
148,做,zuò,"to do, to make",1
149,坐,zuò,"to sit, to take (bus, train, etc.)",1
150,昨天,zuó tiān,yesterday,1
