No,Chinese,Pinyin,English,Level
230,跑步,pǎo bù,to run,2
231,便宜,pián yi,"cheap, inexpensive",2
232,票,piào,ticket,2
233,起床,qǐ chuáng,to get up (from bed),2
234,妻子,qī zi,wife,2
235,千,qiān,1000,2
236,晴,qíng,"clear, sunny",2
237,去年,qù nián,last year,2
238,让,ràng,"to permit, to let sb. do sth.",2
239,上班,shàng bān,"to go to work, to start work",2
240,身体,shēn tǐ,"body, health",2
241,生病,shēng bìng,to get sick,2
242,生日,shēng rì,birthday,2
243,时间,shí jiān,"time, period",2
244,事情,shì qing,"thing, affair, matter",2
245,手表,shǒu biǎo,wrist watch,2
246,手机,shǒu jī,mobile phone,2
247,送,sòng,"to deliver, to escort, to give, to send",2
248,所以,suǒ yǐ,"therefore, as a result, so",2
249,它,tā,it,2
250,题,tí,"topic, problem, to inscribe, to mention",2
251,踢足球,tī zú qiú,to play football,2
252,跳舞,tiào wǔ,to dance,2
253,外,wài,"foreign, external, outside",2
254,完,wán,to finish,2
255,玩,wán,"to play, to have fun",2
256,晚上,wǎn shang,evening,2
257,为什么,wèi shén me,why,2
258,问,wèn,to ask,2
259,问题,wèn tí,"problem, question",2
260,洗,xǐ,to wash,2
261,西瓜,xī guā,watermelon,2
262,希望,xī wàng,"hope, to hope, to wish",2
263,向,xiàng,"direction, to face, to turn towards, formerly, all along, towards",2
264,笑,xiào,"smile, to smile, to laugh",2
265,小时,xiǎo shí,hour,2
266,新,xīn,new,2
267,姓,xìng,surname,2
268,休息,xiū xi,"rest, to rest",2
269,雪,xuě,snow,2
270,眼睛,yǎn jing,eye,2
271,颜色,yán sè,colour,2
272,羊肉,yáng ròu,mutton,2
273,药,yào,"medicine, drug",2
274,要,yào,"Auxiliary, to want to, going to",2
275,也,yě,also,2
276,已经,yǐ jīng,already,2
277,一起,yì qǐ,together,2
278,意思,yì si,"meaning, opinion, idea",2
279,阴,yīn,"cloudy, overcast",2
280,因为,yīn wèi,because,2
281,右边,yòu bian,"right, right side",2
282,游泳,yóu yǒng,"swimming, to swim",2
283,鱼,yú,fish,2
284,元,yuán,"Measure, for money (Yuan, RMB)",2
285,远,yuǎn,"far, distant",2
286,运动,yùn dòng,"movement, sports, to move about",2
287,再,zài,"again, once more",2
288,早上,zǎo shang,early morning,2
289,张,zhāng,"to open up, to spread Measure, for pieces, flat objects",2
290,丈夫,zhàng fu,husband,2
291,找,zhǎo,"to look for, to seek",2
292,着,zhe,indicating action in progress,2
293,真,zhēn,"real, true, genuine",2
294,正在,zhèng zài,"in the process of, in course of",2
295,知道,zhī dào,"to know, to be aware of",2
296,准备,zhǔn bèi,to prepare,2
297,自行车,zì xíng chē,"bicycle, bike",2
298,走,zǒu,to walk,2
299,最,zuì,most,2
300,左边,zuǒ bian,"left, left side",2
