No,Chinese,Pinyin,English,Level
1254,脖子,bó zi,neck,5
1255,布,bù,cloth,5
1256,不安,bù ān,"disturbed, uneasy",5
1257,不必,bú bì,does not have to,5
1258,补充,bǔ chōng,"supplement, to supplement, to complement, additional, supplementary",5
1259,不得了,bù dé liǎo,"disastrous, terrible, extremely, terribly",5
1260,不断,bú duàn,"continuous, unceasing",5
1261,不好意思,bù hǎo yì si,"to feel embarrassed, excuse me, sorry",5
1262,不见得,bú jiàn dé,"not necessarily, not likely",5
1263,部门,bù mén,"department, branch",5
1264,不免,bù miǎn,inevitably,5
1265,不耐烦,bú nài fán,"impatience, impatient",5
1266,不然,bù rán,otherwise,5
1267,不如,bù rú,not as good as,5
1268,不要紧,bú yào jǐn,"it doesn't matter, never mind",5
1269,步骤,bù zhòu,"step, move, measure",5
1270,不足,bù zú,"shortcomings, insufficient, not enough",5
1271,踩,cǎi,"to stamp on, to step, to press a pedal",5
1272,财产,cái chǎn,"property, possession",5
1273,采访,cǎi fǎng,"to interview, to gather news",5
1274,彩虹,cǎi hóng,rainbow,5
1275,采取,cǎi qǔ,"to carry out, to adopt, to take",5
1276,残疾,cán jí,"disability, deformity, disabled, handicapped",5
1277,参考,cān kǎo,"consultation, reference, to consult, to refer to",5
1278,惭愧,cán kuì,ashamed,5
1279,餐厅,cān tīng,restaurant,5
1280,参与,cān yù,"to participate in, to attach oneself to",5
1281,操场,cāo chǎng,"playground, sports field",5
1282,操心,cāo xīn,"to worry about, to take pains",5
1283,册,cè,"book, booklet Measure, for books",5
1284,厕所,cè suǒ,toilet,5
1285,测验,cè yàn,"test, examination, to test",5
1286,曾经,céng jīng,"once, former, previously",5
1287,插,chā,"to insert, to stick in",5
1288,差别,chā bié,difference,5
1289,叉子,chā zi,fork,5
1290,拆,chāi,"open, tear down",5
1291,产品,chǎn pǐn,"product, goods",5
1292,产生,chǎn shēng,"to produce, to come about",5
1293,常识,cháng shí,"common sense, general knowledge",5
1294,长途,cháng tú,long distance,5
1295,朝,cháo,"dynasty, imperial or royal court, towards, facing",5
1296,炒,chǎo,to fry,5
1297,抄,chāo,"to copy, to plagiarize",5
1298,朝代,cháo dài,dynasty,5
1299,吵架,chǎo jià,"quarrel, to quarrel",5
1300,彻底,chè dǐ,thorough,5
1301,车库,chē kù,garage,5
1302,车厢,chē xiāng,carriage,5
1303,趁,chèn,to take advantage of,5
1304,沉默,chén mò,"silence, hush, to keep silent, silent, uncommunicative",5
1305,乘,chéng,"to ride on, to multiply",5
1306,称,chēng,"to weigh, to name, to state",5
1307,承担,chéng dān,"to undertake, to shoulder, to take (responsibility, etc.)",5
1308,程度,chéng dù,"degree, extent, level",5
1309,成分,chéng fèn,"ingredient, component",5
1310,成果,chéng guǒ,"result, achievement, gain",5
1311,称呼,chēng hu,"name, term of address, to address sb., to call sb. (a name)",5
1312,成就,chéng jiù,"accomplishment, achievement",5
1313,诚恳,chéng kěn,"sincere, honest",5
1314,成立,chéng lì,"to establish, to set up, to found",5
1315,承认,chéng rèn,"recognition, to admit, to recognize, to acknowledge",5
1316,承受,chéng shòu,"to bear, to endure, to receive",5
1317,程序,chéng xù,"procedure, process, program (IT)",5
1318,成语,chéng yǔ,"idiom, proverb",5
1319,称赞,chēng zàn,"to praise, to acclaim, to commend",5
1320,成长,chéng zhǎng,"to grow up, to mature",5
1321,翅膀,chì bǎng,wing,5
1322,吃亏,chī kuī,"to suffer losses, to lose out",5
1323,持续,chí xù,"to continue, to persist",5
1324,池子,chí zi,pond,5
1325,尺子,chǐ zi,ruler,5
1326,冲,chōng,"to flush, to head for",5
1327,充电器,chōng diàn qì,battery charger,5
1328,充分,chōng fèn,"ample, full, abundant",5
1329,重复,chóng fù,"to repeat, to duplicate",5
1330,充满,chōng mǎn,"brimming with, full of",5
1331,宠物,chǒng wù,pet,5
1332,臭,chòu,smelly,5
1333,丑,chǒu,"clown, ugly, bad-looking",5
1334,抽屉,chōu ti,drawer,5
1335,抽象,chōu xiàng,abstract,5
1336,除,chú,"to divide, to exclude, except for",5
1337,出版,chū bǎn,to publish,5
1338,除非,chú fēi,"only if, unless",5
1339,初级,chū jí,"primary, elementary",5
1340,出口,chū kǒu,"exit, export",5
1341,处理,chǔ lǐ,"to deal with, to handle, to cope with",5
1342,出色,chū sè,"outstanding, remarkable",5
1343,除夕,chú xī,New Year's Eve,5
1344,出席,chū xí,"to attend, to be present",5
1345,传播,chuán bō,"to spread, to propagate, to disseminate",5
1346,传递,chuán dì,"to pass on to, to transfer",5
1347,传染,chuán rǎn,"to infect, to be contagious",5
1348,传说,chuán shuō,"legend, folklore, it is said, that...",5
1349,传统,chuán tǒng,"tradition, traditional",5
1350,闯,chuǎng,"to rush, to break through, to charge",5
1351,窗帘,chuāng lián,window curtains,5
1352,创造,chuàng zào,"creation, to create, to produce",5
1353,吹,chuī,"to blow, to boast, to fail",5
1354,磁带,cí dài,magnetic tape,5
1355,刺激,cì jī,"stimulus, provocation, to provoke, to stimulate, to excite",5
1356,此外,cǐ wài,"besides, moreover",5
1357,次要,cì yào,"secondary, subordinate",5
1358,辞职,cí zhí,to resign,5
1359,从此,cóng cǐ,from now on,5
1360,从而,cóng ér,"thus, thereby",5
1361,匆忙,cōng máng,"hasty, hurried",5
1362,从前,cóng qián,"previously, formerly",5
1363,从事,cóng shì,"to engage in, to do (formal)",5
1364,醋,cù,vinegar,5
1365,促进,cù jìn,"to promote, to advance",5
1366,促使,cù shǐ,"to urge, to push, to promote",5
1367,催,cuī,"to urge, to press",5
1368,存,cún,"to deposit, to keep",5
1369,存在,cún zài,to exist,5
1370,措施,cuò shī,"measure, step",5
1371,错误,cuò wù,"error, mistake",5
1372,达到,dá dào,"to achieve, to reach, to attain",5
1373,大方,dà fang,"generous, of good taste",5
1374,打工,dǎ gōng,"a part time job, to work (temporary or casual)",5
1375,打交道,dǎ jiāo dao,have dealings with,5
1376,打喷嚏,dǎ pēn tì,to sneeze,5
1377,打听,dǎ ting,"to ask about, to inquire about, to nose into",5
1378,大象,dà xiàng,elephant,5
1379,大型,dà xíng,large-scale,5
1380,答应,dā ying,"to agree, to promise, to respond",5
1381,打招呼,dǎ zhāo hu,"to greet sbd., to give prior notice",5
1382,呆,dāi,"to stay, dull, foolish, stupid",5
1383,贷款,dài kuǎn,"loan, to provide a loan",5
1384,待遇,dài yù,"treatment, pay, salary",5
1385,淡,dàn,"mild, (rather) tasteless, light in color",5
1386,单纯,dān chún,"pure, simple",5
1387,单调,dān diào,"monotonous, dull",5
1388,单独,dān dú,"alone, solo",5
1389,担任,dān rèn,"to hold the post of, to serve as",5
1390,单位,dān wèi,unit,5
1391,耽误,dān wu,to delay,5
1392,胆小鬼,dǎn xiǎo guǐ,coward,5
1393,单元,dān yuán,"unit, cell, entrance number",5
1394,挡,dǎng,"to block, to hinder, to obstruct",5
1395,当代,dāng dài,"present, nowadays",5
1396,倒,dào,"to pour, to reverse, on the contrary, instead",5
1397,岛,dǎo,island,5
1398,到达,dào dá,"to arrive, to reach",5
1399,道德,dào dé,"morality, ethics",5
1400,道理,dào lǐ,"principle, reason, argument",5
1401,倒霉,dǎo méi,to have bad luck,5
1402,导演,dǎo yǎn,"director (film, etc.), to direct",5
1403,导致,dǎo zhì,"to lead to, to create, to bring about",5
1404,等待,děng dài,"to wait for, to await",5
1405,等候,děng hòu,to wait,5
1406,登记,dēng jì,to register,5
1407,登机牌,dēng jī pái,boarding pass,5
1408,等于,děng yú,"to equal, to amount to",5
1409,递,dì,"to pass, to hand over",5
1410,滴,dī,"to drip, to drop Measure, for a drop",5
1411,地道,dì dao,"authentic, genuine, real",5
1412,地理,dì lǐ,geography,5
1413,地区,dì qū,"region, district, area",5
1414,的确,dí què,"really, indeed",5
1415,敌人,dí rén,enemy,5
1416,地毯,dì tǎn,carpet,5
1417,地位,dì wèi,"position, status",5
1418,地震,dì zhèn,earthquake,5
1419,电池,diàn chí,"battery, electric cell",5
1420,电台,diàn tái,"broadcasting station, radio station",5
1421,点头,diǎn tóu,to nod,5
1422,点心,diǎn xin,"light refreshments, Dimsum (Cantonese)",5
1423,钓,diào,to fish,5
1424,顶,dǐng,"top, roof, to carry on the head, most, extremely, highly Measure, for caps, hats, tents, etc.",5
1425,丁,dīng,fourth,5
1426,冻,dòng,"jelly, to freeze, to feel very cold",5
1427,洞,dòng,"cave, hole",5
1428,动画片,dòng huà piàn,"cartoon, animation",5
1429,逗,dòu,"to stay, to pause, to tease",5
1430,豆腐,dòu fu,tofu,5
1431,度过,dù guò,"to spend, to pass",5
1432,独立,dú lì,"independence, to stand alone, independent",5
1433,独特,dú tè,"unique, distinct",5
1434,短信,duǎn xìn,text message,5
1435,堆,duī,"pile, stack, heap Measure, for piles of things",5
1436,对比,duì bǐ,"contrast, comparison, to contrast, to compare",5
1437,对待,duì dài,"treatment, to treat, to approach",5
1438,对方,duì fāng,"counterpart, the other side",5
1439,对手,duì shǒu,"opponent, rival",5
1440,对象,duì xiàng,"lover, partner, target, object",5
1441,对于,duì yú,"regarding, as far as sth. is concerned",5
1442,吨,dūn,"Measure, for a ton",5
1443,蹲,dūn,to squat,5
1444,躲藏,duǒ cáng,to hide oneself,5
1445,多亏,duō kuī,"luckily, thanks to",5
1446,多余,duō yú,"unnecessary, surplus, needless",5
1447,恶劣,è liè,"very bad, vile, disgusting",5
1448,发表,fā biǎo,"to issue, to publish",5
1449,发愁,fā chóu,"to worry, to be anxious",5
1450,发达,fā dá,"to develop, developed (country, etc.)",5
1451,发抖,fā dǒu,"to shiver, to shudder, to tremble",5
1452,发挥,fā huī,"to develop (skill, ability, idea, etc.), to give play to",5
1453,罚款,fá kuǎn,"fine, penalty, to fine",5
1454,发明,fā míng,"invention, to invent",5
1455,发票,fā piào,"invoice, receipt",5
1456,发言,fā yán,"statement, to speak, to make a speech",5
1457,法院,fǎ yuàn,"court of law, court",5
1458,翻,fān,"to turn over, to flip over",5
1459,反而,fǎn ér,"instead, on the contrary",5
1460,反复,fǎn fù,repeatedly,5
1461,繁荣,fán róng,"flourishing, prosperous, booming",5
1462,凡是,fán shì,"every, any, all",5
1463,反应,fǎn yìng,"reaction, response, to react, to respond",5
1464,反正,fǎn zhèng,"anyway, whatever happens",5
1465,方,fāng,"square, direction, side Measure, for square things",5
1466,妨碍,fáng ài,"to hinder, to obstruct",5
1467,方案,fāng àn,"plan, program, scheme",5
1468,房东,fáng dōng,landlord,5
1469,仿佛,fǎng fú,to seem as if,5
1470,方式,fāng shì,"way, pattern, manner",5
1471,放松,fàng sōng,"to relax, to loosen",5
1472,肺,fèi,lung,5
1473,非,fēi,"wrong, mistaken, not, non-, un-",5
1474,废话,fèi huà,"nonsense, useless statement",5
1475,费用,fèi yong,"expenses, cost",5
1476,肥皂,féi zào,soap,5
1477,分别,fēn bié,"difference, to leave each other, to distinguish, separate",5
1478,分布,fēn bù,"to distribute, to be distributed",5
1479,奋斗,fèn dòu,"to fight for, to strive for",5
1480,纷纷,fēn fēn,one after another,5
1481,愤怒,fèn nù,angry,5
1482,分配,fēn pèi,"to assign, to allocate",5
1483,分析,fēn xī,"analysis, to analyze",5
1484,讽刺,fěng cì,"irony, sarcasm, to mock",5
1485,风格,fēng gé,style,5
1486,疯狂,fēng kuáng,"madness, crazy, mad",5
1487,风俗,fēng sú,(social) custom,5
1488,风险,fēng xiǎn,"risk,l venture",5
1489,否定,fǒu dìng,"negation, to negate, to deny",5
1490,否认,fǒu rèn,to deny,5
1491,幅,fú,"Measure, for pictures, paintings, textiles, etc.",5
1492,扶,fú,to help (sb. up),5
1493,服从,fú cóng,"to obey, to submit",5
1494,辅导,fǔ dǎo,"coaching, to tutor, to coach",5
1495,付款,fù kuǎn,"payment, to pay",5
1496,妇女,fù nǚ,woman,5
1497,复制,fù zhì,"to copy, to reproduce",5
1498,服装,fú zhuāng,"clothing, dress",5
1499,盖,gài,"cover, to cover",5
1500,改革,gǎi gé,"reform, to reform",5
1501,改进,gǎi jìn,"improvement, to improve",5
1502,概括,gài kuò,"summary, to summarize; to generalize",5
1503,概念,gài niàn,"concept, idea",5
1504,改善,gǎi shàn,"improvement, to improve",5
1505,改正,gǎi zhèng,"correction, to correct, to amend",5
1506,干脆,gān cuì,"clear-cut, straightforward, simply, you might as well",5
1507,干活儿,gàn huó r,"to work (often hard, manual work)",5
1508,感激,gǎn jī,"to feel grateful, to be thankful",5
1509,赶紧,gǎn jǐn,"at once, losing no time",5
1510,赶快,gǎn kuài,"at once, immediately",5
1511,感受,gǎn shòu,"feeling, perception, to sense, to feel",5
1512,感想,gǎn xiǎng,"impressions, reflections",5
1513,钢铁,gāng tiě,steel,5
1514,搞,gǎo,"to do, to make",5
1515,告别,gào bié,"to leave, to say good-bye to",5
1516,高档,gāo dàng,top grade,5
1517,高速公路,gāo sù gōng lù,highway,5
1518,隔壁,gé bì,next door,5
1519,个别,gè bié,"exceptional, very few, individual",5
1520,胳膊,gē bo,arm,5
1521,革命,gé mìng,revolution,5
1522,个人,gè rén,"individual, individual",5
1523,格外,gé wài,"especially, particularly",5
1524,个性,gè xìng,"personality, character",5
1525,鸽子,gē zi,pigeon,5
1526,各自,gè zì,"each, respective",5
1527,根,gēn,"root, origin Measure, for long, slender objects",5
1528,根本,gēn běn,"foundation, root, fundamental, simply, basic",5
1529,更加,gèng jiā,"more, even more",5
1530,公布,gōng bù,"to announce, to make public",5
1531,工厂,gōng chǎng,factory,5
1532,工程师,gōng chéng shī,engineer,5
1533,功夫,gōng fu,"time, skill, labor, workmanship, kung fu",5
1534,公开,gōng kāi,"to publish, to make public, public",5
1535,功能,gōng néng,"function, feature",5
1536,公平,gōng píng,"fair, impartial",5
1537,工人,gōng rén,worker,5
1538,贡献,gòng xiàn,"contribution, to contribute, to dedicate",5
1539,工业,gōng yè,industry,5
1540,公寓,gōng yù,block of flats,5
1541,公元,gōng yuán,Christian era,5
1542,公主,gōng zhǔ,princess,5
1543,构成,gòu chéng,"to compose, to constitute, to configure (IT)",5
1544,沟通,gōu tōng,to communicate,5
1545,古代,gǔ dài,ancient times,5
1546,古典,gǔ diǎn,classical,5
1547,固定,gù dìng,"to fasten, to fix, fixed, set, regular",5
1548,姑姑,gū gu,aunt (paternal),5
1549,古老,gǔ lǎo,"ancient, age-old",5
1550,姑娘,gū niang,"girl, young woman, daughter",5
1551,股票,gǔ piào,"share, stock",5
1552,固体,gù tǐ,solid (body),5
1553,骨头,gǔ tou,"bone, strong character",5
1554,鼓舞,gǔ wǔ,"encouragement, to inspire, to animate",5
1555,雇佣,gù yōng,"to employ, to hire",5
1556,挂号,guà hào,to register,5
1557,乖,guāi,"obedient, well-behaved, clever, good",5
1558,怪不得,guài bu de,no wonder so that is why,5
1559,拐弯,guǎi wān,"to turn a corner, to change direction",5
1560,官,guān,"officer, government official",5
1561,关闭,guān bì,"to close, to shut",5
1562,观察,guān chá,"observation, to observe, to watch, to survey",5
1563,观点,guān diǎn,"point of view, viewpoint, standpoint",5
1564,关怀,guān huái,"care, solicitude, to care for, to show solicitude for",5
1565,冠军,guàn jūn,champion,5
1566,观念,guān niàn,"concept, idea, thought",5
1567,罐头,guàn tou,"tin, can",5
1568,管子,guǎn zi,"tube, pipe",5
1569,广场,guǎng chǎng,public square,5
1570,广大,guǎng dà,"vast, extensive, widespread",5
1571,广泛,guǎng fàn,"extensive, wide ranging",5
1572,光滑,guāng huá,"smooth, sleek, glossy",5
1573,光临,guāng lín,to visit as honorable guest,5
1574,光明,guāng míng,"light, radiance, light, bright",5
1575,光盘,guāng pán,"CD, DVD",5
1576,光荣,guāng róng,"honor, glory, glorious, honorable",5
1577,规矩,guī ju,"rule, custom, manner, practices",5
1578,规律,guī lǜ,"law, regular pattern",5
1579,规模,guī mó,"scale, scope, size, extent",5
1580,柜台,guì tái,"(sales) counter, bar",5
1581,规则,guī zé,"rule, regulation",5
1582,滚,gǔn,"to boil, to roll",5
1583,锅,guō,"pot, pan",5
1584,过分,guò fèn,"excessive, undue",5
1585,国籍,guó jí,"nationality, citizenship",5
1586,过敏,guò mǐn,"allergy, to be allergic",5
1587,过期,guò qī,"to expire, to exceed the time limit",5
1588,国庆节,Guó qìng jié,National Day (October 1st),5
1589,果实,guǒ shí,"fruits, gains",5
1590,哈,hā,"haha, laughter",5
1591,海关,hǎi guān,customs,5
1592,海鲜,hǎi xiān,seafood,5
1593,喊,hǎn,"to shout, to yell",5
1594,行业,háng yè,"business, industry, profession",5
1595,豪华,háo huá,luxurious,5
1596,好奇,hào qí,"curious, inquisitive",5
1597,何必,hé bì,there is no need to,5
1598,合法,hé fǎ,"legal, legitimate",5
1599,何况,hé kuàng,let alone,5
1600,合理,hé lǐ,"reasonable, rational",5
1601,和平,hé píng,peace,5
1602,合同,hé tong,contract,5
1603,核心,hé xīn,core,5
1604,合影,hé yǐng,group photo,5
1605,合作,hé zuò,"cooperation, to cooperate, to work together",5
1606,恨,hèn,"hate, to hate",5
1607,横,héng,"horizontal, across",5
1608,后果,hòu guǒ,"consequence, aftermath",5
1609,壶,hú,"pot Measure, for bottled liquid",5
1610,蝴蝶,hú dié,butterfly,5
1611,忽视,hū shì,"to neglect, to ignore, to overlook",5
1612,胡说,hú shuō,to talk nonsense,5
1613,胡同,hú tòng,"lane, alley",5
1614,糊涂,hú tu,"confused, muddled",5
1615,呼吸,hū xī,to breathe,5
1616,胡须,hú xū,beard,5
1617,滑冰,huá bīng,"skating, to skate",5
1618,划船,huá chuán,"rowing, rowing boat, to row a boat",5
1619,花生,huā shēng,peanut,5
1620,话题,huà tí,topic,5
1621,化学,huà xué,chemistry,5
1622,华裔,huá yì,ethnic Chinese (but non-Chinese citizen),5
1623,怀念,huái niàn,"to cherish the memory of, to think of",5
1624,缓解,huǎn jiě,"to ease, to blunt, to help relieve (a crisis)",5
1625,幻想,huàn xiǎng,"illusion, fantasy, to dream",5
1626,皇帝,huáng dì,emperor,5
1627,黄瓜,huáng guā,cucumber,5
1628,皇后,huáng hòu,empress,5
1629,黄金,huáng jīn,gold,5
1630,慌张,huāng zhāng,"confused, flustered",5
1631,挥,huī,"to wave, to brandish, to wipe away",5
1632,灰,huī,"ash, dust, gray",5
1633,灰尘,huī chén,dust,5
1634,恢复,huī fù,"to recover, to restore",5
1635,汇率,huì lǜ,exchange rate,5
1636,灰心,huī xīn,"to lose heart, to be discouraged",5
1637,婚礼,hūn lǐ,wedding,5
1638,婚姻,hūn yīn,"wedding, marriage",5
1639,伙伴,huǒ bàn,"partner, companion, mate",5
1640,火柴,huǒ chái,match (for fire),5
1641,活跃,huó yuè,"active, vigorous",5
1642,基本,jī běn,"basic, fundamental",5
1643,及格,jí gé,to pass a test,5
1644,激烈,jī liè,"intense, fierce",5
1645,系领带,jì lǐng dài,to tie one's necktie,5
1646,纪录,jì lù,record,5
1647,记录,jì lù,record,5
1648,纪律,jì lǜ,discipline,5
1649,急忙,jí máng,"hasty, in a hurry",5
1650,寂寞,jì mò,lonely,5
1651,纪念,jì niàn,"commemoration, to commemorate",5
1652,机器,jī qì,machine,5
1653,肌肉,jī ròu,muscle,5
1654,计算,jì suàn,"calculation, to count, to calculate",5
1655,集体,jí tǐ,collective,5
1656,记忆,jì yì,"memory, to remember",5
1657,集中,jí zhōng,"to concentrate, to focus",5
1658,嫁,jià,to marry (woman -> men),5
1659,甲,jiǎ,first(ly),5
1660,嘉宾,jiā bīn,honoured guest,5
1661,假如,jiǎ rú,if,5
1662,驾驶,jià shǐ,"to drive, to pilot",5
1663,家庭,jiā tíng,"family, household",5
1664,家务,jiā wù,housework,5
1665,家乡,jiā xiāng,"hometown, native place",5
1666,价值,jià zhí,"value, worth",5
1667,假装,jiǎ zhuāng,to pretend,5
1668,夹子,jiā zi,"clip, clamp, tongs",5
1669,捡,jiǎn,"to pick up, to gather",5
1670,煎,jiān,to pan fry,5
1671,肩膀,jiān bǎng,shoulder,5
1672,剪刀,jiǎn dāo,scissors,5
1673,艰巨,jiān jù,"arduous, formidable",5
1674,坚决,jiān jué,"resolute, determined",5
1675,艰苦,jiān kǔ,"difficult, hard",5
1676,建立,jiàn lì,"to build, to establish",5
1677,简历,jiǎn lì,"CV, resume",5
1678,键盘,jiàn pán,keyboard,5
1679,坚强,jiān qiáng,strong,5
1680,尖锐,jiān ruì,"sharp, acute (illness)",5
1681,建设,jiàn shè,"construction, to build, to construct",5
1682,健身房,jiàn shēn fáng,"gym, gymnasium",5
1683,建议,jiàn yì,"suggestion, to suggest",5
1684,简直,jiǎn zhí,"simply, totally",5
1685,建筑,jiàn zhù,"building, architecture, to build, to construct",5
1686,讲究,jiǎng jiu,"to pay attention to, exquisite, tasteful",5
1687,降落,jiàng luò,"to descend, to land",5
1688,酱油,jiàng yóu,soy sauce,5
1689,讲座,jiǎng zuò,lecture,5
1690,浇,jiāo,"to water, to pour, to sprinkle",5
1691,教材,jiào cái,teaching material,5
1692,角度,jiǎo dù,"angle, point of view",5
1693,狡猾,jiǎo huá,"sly, cunning, tricky",5
1694,交换,jiāo huàn,"exchange, to exchange, to swap, to switch",5
1695,交际,jiāo jì,"communication, social intercourse, socialize",5
1696,教练,jiào liàn,"sports coach, instructor",5
1697,郊区,jiāo qū,suburbs,5
1698,胶水,jiāo shuǐ,glue,5
1699,教训,jiào xùn,"lesson, to teach sb. a lesson",5
1700,节,jié,"festival, holiday, segmet, joint, part, to save, to economize Measure, for segments",5
1701,届,jiè,"to become due Measure, for events, meetings, etc.",5
1702,接触,jiē chù,"to touch, to contact, to get in touch with",5
1703,接待,jiē dài,to receive (visitor),5
1704,阶段,jiē duàn,"stage, section, phase",5
1705,解放,jiě fàng,"liberation, to liberate, to emancipate",5
1706,结构,jié gòu,"structure, makeup, composition",5
1707,结合,jié hé,"binding, to combine, to link, to integrate",5
1708,接近,jiē jìn,"to near, to approach, to be close to",5
1709,借口,jiè kǒu,"excuse, pretext",5
1710,结论,jié lùn,conclusion,5
1711,节省,jié shěng,"to save, to economize, to use sparingly",5
1712,结实,jiē shi,"solid, durable, sturdy",5
1713,解说员,jiě shuō yuán,commentator,5
1714,戒烟,jiè yān,to give up smoking,5
1715,结账,jié zhàng,to pay the bill,5
1716,接着,jiē zhe,"to follow, to carry on, then, after that",5
1717,戒指,jiè zhi,ring (for finger),5
1718,紧,jǐn,"thight, tense, urgent",5
1719,进步,jìn bù,"progress, improvement, to improve, make progress",5
1720,近代,jìn dài,modern times,5
1721,紧急,jǐn jí,"urgent, pressing",5
1722,进口,jìn kǒu,"import, to import",5
1723,尽力,jìn lì,to do all one can,5
1724,尽量,jǐn liàng,to the best of one's ability,5
1725,谨慎,jǐn shèn,"cautious, prudent",5
1726,金属,jīn shǔ,metal,5
1727,敬爱,jìng ài,to respect and love,5
1728,经典,jīng diǎn,"classics, scriptures, classical",5
1729,精力,jīng lì,energy,5
1730,景色,jǐng sè,"scenery, view, landscape",5
1731,经营,jīng yíng,"to run, to operate, to engage in (business, etc.)",5
1732,救,jiù,"to relieve, to rescue",5
1733,酒吧,jiǔ bā,"bar, pub",5
1734,救护车,jiù hù chē,ambulance,5
1735,舅舅,jiù jiu,uncle (maternal),5
1736,举,jǔ,"to raise, to hold up, to elect",5
1737,具备,jù bèi,"to possess, to have",5
1738,巨大,jù dà,huge enormous,5
1739,聚会,jù huì,"party, gathering, to party, to get together",5
1740,俱乐部,jù lè bù,club,5
1741,居然,jū rán,unexpectedly,5
1742,据说,jù shuō,"it is said, reportedly",5
1743,具体,jù tǐ,"concrete, specific",5
1744,桔子,jú zi,tangerine,5
1745,捐,juān,"tax, contribution, to contribute, to donate, to give up",5
1746,卷,juǎn,"roll, to roll Measure, for roll, spool",5
1747,绝对,jué duì,"absolute, unconditional",5
1748,决赛,jué sài,final (competition),5
1749,角色,jué sè,"character (in a book, play, etc.)",5
1750,决心,jué xīn,"determination, resolution, to make up one's mind",5
1751,军事,jūn shì,military affairs,5
1752,均匀,jūn yún,"even, homogeneous",5
1753,卡车,kǎ chē,"truck, lorry",5
1754,开发,kāi fā,"to develop (e.g. IT), to exploit (a resource)",5
1755,开放,kāi fàng,"to open up (for public, etc.)",5
1756,开幕式,kāi mù shì,opening ceremony,5
1757,开心,kāi xīn,"to feel happy, to make fun of sb., happy",5
1758,砍,kǎn,"to chop, to cut down",5
1759,看不起,kàn bu qǐ,to look down upon,5
1760,看来,kàn lái,"it seems, it appears",5
1761,抗议,kàng yì,to protest,5
1762,烤鸭,kǎo yā,roast duck,5
1763,克,kè,"to subdue, to restrain Measure, 1 gram",5
1764,颗,kē,"Measure, for grain, pearls, teeth, stars, etc.",5
1765,课程,kè chéng,"course, class",5
1766,克服,kè fú,"to overcome, to conquer, to put up with",5
1767,客观,kè guān,"objective, impartial",5
1768,可见,kě jiàn,"it is obvious that, it can clearly be seen that",5
1769,可靠,kě kào,"reliable, dependable",5
1770,刻苦,kè kǔ,"hardworking, assiduous",5
1771,可怕,kě pà,"awful, terrible",5
1772,客厅,kè tīng,living room,5
1773,恐怖,kǒng bù,"terrble, fearful, frightening",5
1774,空间,kōng jiān,space,5
