No,Chinese,Pinyin,English,Level
2556,保管,bǎo guǎn,"to keep, to take care of",6
2557,曝光,bào guāng,"exposure (photo), to expose (photo, scandal, etc.)",6
2558,饱和,bǎo hé,"saturation, saturated",6
2559,饱经沧桑,bǎo jīng cāng sāng,having lived through a lot of painful changes,6
2560,暴力,bào lì,violence,6
2561,暴露,bào lù,"to expose, to reveal",6
2562,保密,bǎo mì,"to keep sth. confidential, to maintain secrecy",6
2563,保姆,bǎo mǔ,"nanny, housekeeper",6
2564,报社,bào shè,newspaper office,6
2565,保守,bǎo shǒu,"to guard, to keep, conservative",6
2566,包围,bāo wéi,"to surround, to encircle",6
2567,保卫,bǎo wèi,"to defend, to safeguard",6
2568,报销,bào xiāo,"write-off, wipe out, apply for reimbursement",6
2569,保养,bǎo yǎng,"maintenance, to maintain, to take care of one's health",6
2570,抱怨,bào yuàn,"to complain, to grumble",6
2571,爆炸,bào zhà,"explosion, to explode, to blow up",6
2572,保障,bǎo zhàng,"to ensure, to guarantee",6
2573,保重,bǎo zhòng,to take care of oneself,6
2574,包装,bāo zhuāng,"package, to pack",6
2575,悲哀,bēi āi,"grieved, sorrowful",6
2576,卑鄙,bēi bǐ,"mean, despicable",6
2577,悲惨,bēi cǎn,"tragic, miserable",6
2578,被动,bèi dòng,passive,6
2579,备份,bèi fèn,backup,6
2580,被告,bèi gào,defendant,6
2581,北极,běi jí,North Pole,6
2582,贝壳,bèi ké,shell,6
2583,背叛,bèi pàn,to betray,6
2584,背诵,bèi sòng,"to recite, to repeat from memory",6
2585,备忘录,bèi wàng lù,"memo, written reminder",6
2586,奔波,bēn bō,to rush about,6
2587,奔驰,bēn chí,"to run quickly, to move fast",6
2588,本能,běn néng,instinct,6
2589,本钱,běn qián,capital (money),6
2590,本人,běn rén,"I, myself, oneself, personal",6
2591,本身,běn shēn,"itself, in itself",6
2592,本事,běn shi,"ability, skill",6
2593,本着,běn zhe,"based on, in line with",6
2594,笨拙,bèn zhuō,clumsy,6
2595,甭,béng,need not (short for 不用),6
2596,蹦,bèng,to jump,6
2597,迸发,bèng fā,"to burst out, to gush, to spurt",6
2598,崩溃,bēng kuì,"breakdown, to break down, to collapse",6
2599,臂,bì,arm,6
2600,弊病,bì bìng,"disadvantage, malpractice, ulcer",6
2601,必定,bì dìng,"be sure to, certainly, undoubtedly",6
2602,弊端,bì duān,"malpractice, abuse",6
2603,比方,bǐ fang,"analogy, instance",6
2604,逼迫,bī pò,"to force, to compel",6
2605,闭塞,bì sè,"to block, to close up, to stop up, inaccessible, unenlightened",6
2606,鼻涕,bí tì,"nasal mucus, snot",6
2607,比喻,bǐ yù,metaphor,6
2608,碧玉,bì yù,jasper,6
2609,比重,bǐ zhòng,"proportion, specific weight",6
2610,扁,biǎn,flat,6
2611,遍布,biàn bù,to be found throughout,6
2612,鞭策,biān cè,to urge on,6
2613,贬低,biǎn dī,"to belittle, to degrade, to depreciate",6
2614,变故,biàn gù,"accident, unforeseen event",6
2615,辩护,biàn hù,"to speak in defense of, to defend",6
2616,边疆,biān jiāng,border area,6
2617,边界,biān jiè,"border, boundary",6
2618,辩解,biàn jiě,"to provide an explanation, to justify, to defend",6
2619,边境,biān jìng,"border, frontier",6
2620,便利,biàn lì,"convenient, easy",6
2621,变迁,biàn qiān,"changes, vicissitudes",6
2622,辨认,biàn rèn,"to recognize, to identify",6
2623,便条,biàn tiáo,(informal) note,6
2624,贬义,biǎn yì,derogatory sense,6
2625,便于,biàn yú,"easy, convenient",6
2626,边缘,biān yuán,"edge, fringe, brink",6
2627,辩证,biàn zhèng,"dialectical, not good and not bad",6
2628,编织,biān zhī,"to weave, to knit, to plait",6
2629,变质,biàn zhì,"metamorphosis, to go bad, to deteriorate",6
2630,辫子,biàn zi,"queue, plait, pigtail",6
2631,标本,biāo běn,"specimen, sample",6
2632,标记,biāo jì,"sign, mark, to mark up",6
2633,表决,biǎo jué,"to decide by vote, to vote",6
2634,飙升,biāo shēng,to rise rapidly,6
2635,表态,biǎo tài,to declare one's position,6
2636,标题,biāo tí,"title, heading, caption",6
2637,表彰,biǎo zhāng,"to commend, to honour",6
2638,憋,biē,"to hold back, to restrain, to suppress feelings",6
2639,别扭,biè niu,"awkward (speech), difficult (personality), uncomfortable",6
2640,别墅,bié shù,villa,6
2641,别致,bié zhì,"unusual, unconventional, original",6
2642,濒临,bīn lín,"on the verge of, close to",6
2643,冰雹,bīng báo,hail,6
2644,并存,bìng cún,to coexist,6
2645,并非,bìng fēi,"really not, not so",6
2646,并列,bìng liè,"to stand side by side, to be juxtaposed",6
2647,拨打,bō dǎ,"to call, to dial",6
2648,博大精深,bó dà jīng shēn,wide-ranging and profound,6
2649,搏斗,bó dòu,"combat, fight, to fight, to struggle, to wrestle",6
2650,播放,bō fàng,"to broadcast, to transmit",6
2651,博览会,bó lǎn huì,"exhibition, international fair",6
2652,波浪,bō làng,wave,6
2653,伯母,bó mǔ,aunt (wife of father's elder brother),6
2654,薄弱,bó ruò,"weak, frail",6
2655,波涛汹涌,bō tāo xiōng yǒng,"turbulent, rough (wind, sea, etc.)",6
2656,剥削,bō xuē,"exploitation, to exploit",6
2657,播种,bō zhòng,"seed, to sow",6
2658,补偿,bǔ cháng,"compensation, to compensate, to make up",6
2659,不得已,bù dé yǐ,to have no alternative but to,6
2660,步伐,bù fá,"pace, step, march",6
2661,不妨,bù fáng,might as well,6
2662,不敢当,bù gǎn dāng,You flatter me!,6
2663,布告,bù gào,"notice, bulletin, to announce",6
2664,不顾,bú gù,"to ignore, to disregard, in spite of, regardless of",6
2665,不禁,bù jīn,"can't help, can't refrain from",6
2666,补救,bǔ jiù,"to remedy, to redeem",6
2667,布局,bù jú,"arrangement, composition",6
2668,不堪,bù kān,"can't bear, can't stand, utterly, extremely",6
2669,不可思议,bù kě sī yì,unbelievable!,6
2670,不愧,bú kuì,"be worthy of, creditably",6
2671,不料,bú liào,unexpectedly,6
2672,哺乳,bǔ rǔ,"to suckle, to breast-feed",6
2673,不时,bù shí,"now and then, from time to time",6
2674,部署,bù shǔ,"to dispose, to deploy",6
2675,补贴,bǔ tiē,"subsidy, allowance",6
2676,部位,bù wèi,"position, place, section",6
2677,不惜,bù xī,to not hesitate to,6
2678,不像话,bú xiàng huà,"unreasonable, shocking, outrageous",6
2679,不相上下,bù xiāng shàng xià,about the same,6
2680,不屑一顾,bú xiè yí gù,to disdain as beneath contempt,6
2681,不言而喻,bù yán ér yù,"to goe without saying, to be self-evident",6
2682,不由得,bù yóu de,"can't help, cannot but",6
2683,不择手段,bù zé shǒu duàn,by hook or by crook,6
2684,不止,bù zhǐ,"without end, more than, not limited to",6
2685,布置,bù zhì,"to fix up, to arrange, to decorate",6
2686,捕捉,bǔ zhuō,to catch,6
2687,裁缝,cái feng,"tailor, to sew",6
2688,财富,cái fù,"wealth, riches",6
2689,才干,cái gàn,"ability, competence, talent",6
2690,采购,cǎi gòu,"to procure, to purchase",6
2691,采集,cǎi jí,"to gather, to collect",6
2692,采纳,cǎi nà,"to accept, to adopt",6
2693,裁判,cái pàn,"judgment, referee, judge, umpire, to act as referee",6
2694,彩票,cǎi piào,"lottery, lottery ticket",6
2695,财务,cái wù,financial affairs,6
2696,裁员,cái yuán,"to cut staff, to lay off employees",6
2697,财政,cái zhèng,"finance, public finances",6
2698,残酷,cán kù,"cruelty, crueal, brutal",6
2699,灿烂,càn làn,"bright, splendid, brilliant",6
2700,残留,cán liú,"to remain, to be left over",6
2701,参谋,cān móu,"staff officer, advisor, to give advice",6
2702,残忍,cán rěn,"cruel, merciless, brutal",6
2703,参照,cān zhào,"reference, to refer to, to consult",6
2704,舱,cāng,"cabin, hold",6
2705,苍白,cāng bái,"pale, wan",6
2706,仓促,cāng cù,"hurried, hasty",6
2707,仓库,cāng kù,"storehouse, warehouse, depot",6
2708,草案,cǎo àn,draft,6
2709,操劳,cāo láo,"to work hard, to look after",6
2710,操练,cāo liàn,"drill, exercise, to drill, to practice",6
2711,草率,cǎo shuài,"careless, hasty, sloppy",6
2712,嘈杂,cáo zá,"noisy, rackety",6
2713,操纵,cāo zòng,"to operate, to control, to handle",6
2714,操作,cāo zuò,"operation, handling, to work, to operate, to manipulate",6
2715,策划,cè huà,"to plan, to plot, to engineer",6
2716,测量,cè liáng,"to measure, to survey",6
2717,策略,cè lüè,tactics,6
2718,侧面,cè miàn,"side, flank, lateral",6
2719,层出不穷,céng chū bù qióng,to emerge in an endless stream,6
2720,层次,céng cì,"arrangement of ideas, administrative level",6
2721,岔,chà,"fork in the road, to diverge",6
2722,查获,chá huò,to hunt down and seize,6
2723,差距,chā jù,"disparity, gap, difference",6
2724,刹那,chà nà,"in an instant, split second",6
2725,诧异,chà yì,"astonished, surprised",6
2726,柴油,chái yóu,diesel fuel,6
2727,搀,chān,"to assist by the arm, to support, to mix",6
2728,馋,chán,"greedy, gluttonous",6
2729,颤抖,chàn dǒu,"to shudder, to shiver",6
2730,缠绕,chán rào,"to twine, to wind, to bother",6
2731,阐述,chǎn shù,to expound,6
2732,产业,chǎn yè,"industry, property, industrial",6
2733,倡导,chàng dǎo,"to initiate, to advocate",6
2734,场合,chǎng hé,"situation, occasion",6
2735,偿还,cháng huán,"to reimburse, to repay",6
2736,敞开,chǎng kāi,to open wide,6
2737,猖狂,chāng kuáng,"savage, furious",6
2738,场面,chǎng miàn,"scene, occasion",6
2739,常年,cháng nián,throughout the year,6
2740,昌盛,chāng shèng,prosperous,6
2741,尝试,cháng shì,"try, attempt, to try, to attempt",6
2742,场所,chǎng suǒ,"location, place",6
2743,畅通,chàng tōng,"unblocked, free-flowing",6
2744,常务,cháng wù,"routine, everyday business",6
2745,畅销,chàng xiāo,to sell well,6
2746,倡议,chàng yì,"proposal, initiative, to suggest, to initiate",6
2747,超级,chāo jí,super-,6
2748,潮流,cháo liú,"tide, current, trend",6
2749,钞票,chāo piào,"paper money, bill",6
2750,潮湿,cháo shī,"wet, damp, moist",6
2751,嘲笑,cháo xiào,"to make fun of, to mock",6
2752,超越,chāo yuè,"to surpass, to exceed",6
2753,撤退,chè tuì,"to withdraw, to retreat",6
2754,撤销,chè xiāo,"to repeal, to revoke",6
2755,沉淀,chén diàn,"sediment, deposit, to settle, to precipitate",6
2756,陈旧,chén jiù,"old, old-fashioned, antiquated",6
2757,陈列,chén liè,"to display, to exhibit",6
2758,沉闷,chén mèn,"oppressive, depressing, dull",6
2759,陈述,chén shù,"to state, to declare, to make a statement",6
2760,沉思,chén sī,"to ponder, to muse, to mediate, to contemplate",6
2761,称心如意,chèn xīn rú yì,to have everything one could wish for,6
2762,沉重,chén zhòng,"heavy, serious",6
2763,沉着,chén zhuó,"composed, cool headed, calm",6
2764,橙,chéng,"orange (fruit), orange (colour)",6
2765,盛,chéng,"to hold, to fill",6
2766,秤,chèng,steelyard,6
2767,承办,chéng bàn,"to undertake, to accept a contract",6
2768,承包,chéng bāo,"to contract, to undertake",6
2769,城堡,chéng bǎo,castle,6
2770,成本,chéng běn,"costs (production, etc.)",6
2771,惩罚,chéng fá,"punishment, to punish",6
2772,称号,chēng hào,"title, term of address",6
2773,成交,chéng jiāo,"to reach a deal, to complete a contract",6
2774,承诺,chéng nuò,"promise, commitment, to promise, to agree to",6
2775,澄清,chéng qīng,"to clarify, clear, limpid",6
2776,成天,chéng tiān,all day long,6
2777,乘务员,chéng wù yuán,"train manager, stewardess",6
2778,呈现,chéng xiàn,"to appear, to show, to present",6
2779,成效,chéng xiào,"effect, result",6
2780,成心,chéng xīn,"on purpose, deliberately",6
2781,成员,chéng yuán,member,6
2782,诚挚,chéng zhì,"sincere, cordial, earnest",6
2783,赤道,chì dào,equator,6
2784,迟缓,chí huǎn,"slow, sluggish, tardy",6
2785,持久,chí jiǔ,"lasting, persistent, enduring",6
2786,吃苦,chī kǔ,"to bear hardships, to suffer",6
2787,吃力,chī lì,"strenuous, requiring effort",6
2788,池塘,chí táng,"pool, pond",6
2789,迟疑,chí yí,to hesitate,6
2790,赤字,chì zì,deficit (financial),6
2791,崇拜,chóng bài,"adoration, to adore, to worship",6
2792,充当,chōng dāng,"to serve as, to act as",6
2793,重叠,chóng dié,"overlap, redundancy, to overlap",6
2794,冲动,chōng dòng,impulse,6
2795,崇高,chóng gāo,"lofty, sublime",6
2796,冲击,chōng jī,"shock, strike, attack, impact",6
2797,崇敬,chóng jìng,"respect, to revere, to respect",6
2798,充沛,chōng pèi,"abundant, plentiful",6
2799,充实,chōng shí,"to enrich, to replenish, substantial, rich",6
2800,冲突,chōng tū,"conflict, clash, to conflict, to clash",6
2801,重阳节,Chóng yáng jié,Chong Yang festival,6
2802,充足,chōng zú,"adequate, sufficient, abundant",6
2803,筹备,chóu bèi,"preparation, to get ready for, to prepare",6
2804,踌躇,chóu chú,to hesitate,6
2805,丑恶,chǒu è,"ugly, repulsive",6
2806,抽空,chōu kòng,to find the time to do sth.,6
2807,稠密,chóu mì,"thick, dense, intimate",6
2808,储备,chǔ bèi,"reserves, to store up",6
2809,初步,chū bù,"initial, preliminary",6
2810,储存,chǔ cún,"storage, deposition, to store up, to stockpile",6
2811,触犯,chù fàn,"to offend, to violate",6
2812,处分,chǔ fèn,"punishment, to punish, to discipline",6
2813,处境,chǔ jìng,"plight, (unfavourable) situation",6
2814,出路,chū lù,way out (of difficulty),6
2815,出卖,chū mài,"to sell, to sell out, to betray",6
2816,出身,chū shēn,"family background, origin",6
2817,出神,chū shén,to be lost in thought,6
2818,出息,chū xi,"promise, prospects",6
2819,储蓄,chǔ xù,"savings, to deposit money, to save",6
2820,出洋相,chū yáng xiàng,to make a fool of oneself,6
2821,处置,chǔ zhì,"to handle, to deal with, to punish",6
2822,串,chuàn,"to string together, to connect Measure, for rows, strings, skewers etc.",6
2823,船舶,chuán bó,"ships, boats",6
2824,传达,chuán dá,"to pass on, to transmit",6
2825,传单,chuán dān,"leaflet, flier",6
2826,川流不息,chuān liú bù xī,to flow in an endless stream,6
2827,喘气,chuǎn qì,"to pant, to gasp, to breathe deeply",6
2828,传授,chuán shòu,"to pass on, to teach, to impart",6
2829,穿越,chuān yuè,"to pass though, to cross",6
2830,床单,chuáng dān,bed sheet,6
2831,创立,chuàng lì,"to found, to establish",6
2832,创新,chuàng xīn,"innovation, to bring forth new ideas, to innovate",6
2833,创业,chuàng yè,"to start an enterprise, to do pioneering work",6
2834,创作,chuàng zuò,"creation, creative work, to create, to produce, to write",6
2835,锤,chuí,"hammer, to hammer",6
2836,吹牛,chuī niú,"to brag, to boast",6
2837,吹捧,chuī pěng,"to flatter, to lavish praise on",6
2838,垂直,chuí zhí,"vertical, perpendicular",6
2839,纯粹,chún cuì,"pure, simple, absolute",6
2840,纯洁,chún jié,"to purify, pure, chaste, honest",6
2841,刺,cì,"thorn, splinter, to stab",6
2842,伺候,cì hòu,"to serve, to wait on",6
2843,词汇,cí huì,"vocabulary, words and phrases",6
2844,次品,cì pǐn,"substandard products, defective goods",6
2845,慈祥,cí xiáng,kind,6
2846,雌雄,cí xióng,male and female,6
2847,次序,cì xù,"suquence, order",6
2848,丛,cóng,"collection, tussock, thicket Measure, for some plants",6
2849,从容不迫,cóng róng bù pò,"calm, unhurried",6
2850,凑合,còu he,"to gather together, to improvise, passable, not too bad",6
2851,粗鲁,cū lǔ,"rude, rough, impolite",6
2852,窜,cuàn,"to flee, to escape",6
2853,摧残,cuī cán,"to devastate, to ruin",6
2854,脆弱,cuì ruò,"flimsy, weak, frail",6
2855,搓,cuō,to rub the hands together,6
2856,磋商,cuō shāng,"consultation, to consult, to discuss, to negotiate",6
2857,挫折,cuò zhé,"setback, reverse, defeat",6
2858,搭,dā,"to put up, to build, to take (boat, bus, train, etc.)",6
2859,打包,dǎ bāo,"to pack, to wrap",6
2860,答辩,dá biàn,"plea (law), to reply to a charge",6
2861,大不了,dà bu liǎo,"at worst, if worst comes to worst",6
2862,大臣,dà chén,minister (in monarchy),6
2863,达成,dá chéng,"to reach (agreement), to accomplish",6
2864,搭档,dā dàng,"partner, to cooperate, to work together",6
2865,答复,dá fù,"to answer, to reply",6
2866,打官司,dǎ guān si,"to sue, to go to court",6
2867,大伙儿,dà huǒ r,"everyone, all of us",6
2868,打击,dǎ jī,"blow, hit, to strike, to hit, to attack",6
2869,打架,dǎ jià,"fight, fistfight, to fight, to scuffle",6
2870,打量,dǎ liang,"to take measure of, to suppose, to reckon",6
2871,打猎,dǎ liè,"hunt, to go hunting",6
2872,搭配,dā pèi,"to arrange, to match",6
2873,大厦,dà shà,"large building, mansion",6
2874,大肆,dà sì,"wantonly, without restraint",6
2875,大体,dà tǐ,"in general, roughly, more or less",6
2876,大意,dà yi,"general idea, main idea",6
2877,打仗,dǎ zhàng,"to go to war, to fight, to make war",6
2878,大致,dà zhì,"roughly, more or less",6
2879,逮捕,dài bǔ,"arrest, to arrest, to apprehend",6
2880,代价,dài jià,"price, cost",6
2881,代理,dài lǐ,"agency, representation, to act on behalf of, to represent",6
2882,带领,dài lǐng,"to guide, to lead",6
2883,怠慢,dài màn,"to neglect, to slight",6
2884,歹徒,dǎi tú,"gangster, evil-doer",6
2885,蛋白质,dàn bái zhì,protein,6
2886,担保,dān bǎo,"to assure, to guarantee, to vouch for",6
2887,诞辰,dàn chén,birthday,6
2888,淡季,dàn jì,off season,6
2889,胆怯,dǎn qiè,"timid, cowardly",6
2890,诞生,dàn shēng,"to be born, to be founded",6
2891,淡水,dàn shuǐ,"fresh water, potable water",6
2892,党,dǎng,"party, association, society",6
2893,档案,dàng àn,"file, record, archive",6
2894,当场,dāng chǎng,"on the spot, at the scene",6
2895,当初,dāng chū,"in the first place, originally",6
2896,档次,dàng cì,"grade, quality, level",6
2897,当面,dāng miàn,"face to face, in sbd.'s presence",6
2898,当前,dāng qián,"current, present",6
2899,当事人,dāng shì rén,"people concerned, party, client",6
2900,当务之急,dāng wù zhī jí,matter of vital importance,6
2901,当心,dāng xīn,"to take, care, to watch out",6
2902,当选,dāng xuǎn,"to be elected, to win an election",6
2903,倒闭,dǎo bì,to go bankrupt,6
2904,导弹,dǎo dàn,guided missile,6
2905,稻谷,dào gǔ,"paddy, rice crops",6
2906,导航,dǎo háng,"navigation, to navigate",6
2907,捣乱,dǎo luàn,"to make trouble, to disturb",6
2908,盗窃,dào qiè,"steal, to steal",6
2909,导向,dǎo xiàng,"guide, guideline",6
2910,岛屿,dǎo yǔ,islands,6
2911,得不偿失,dé bù cháng shī,the game is not worth the candle,6
2912,得力,dé lì,"capable, competent",6
2913,得天独厚,dé tiān dú hòu,"blessed, gifted, rich, unique, advantageous",6
2914,得罪,dé zuì,"to offend, to displease, to commit an offense",6
2915,蹬,dēng,"to tread on, to step on",6
2916,瞪,dèng,"to stare, to open (one's eyes)",6
2917,等级,děng jí,"grade, rank",6
2918,灯笼,dēng long,lantern,6
2919,登陆,dēng lù,"to land, to disembark, to log in",6
2920,登录,dēng lù,"to register, to login",6
2921,堤坝,dī bà,dam,6
2922,地步,dì bù,"tight condition, plight, extent",6
2923,抵达,dǐ dá,"to arrive, to reach",6
2924,抵抗,dǐ kàng,"resistance, to resist, to fight back",6
2925,敌视,dí shì,"to be hostile to, to stand against",6
2926,地势,dì shì,"topography, terrain",6
2927,递增,dì zēng,to increase progressively,6
2928,抵制,dǐ zhì,"to boycott, to resist, to reject",6
2929,地质,dì zhì,geology,6
2930,垫,diàn,"pad, cushion, mat, to pad",6
2931,颠簸,diān bǒ,"to jolt, to bump",6
2932,颠倒,diān dǎo,"to turn upside down, reversed, inverted, confused",6
2933,奠定,diàn dìng,"to establish, to found",6
2934,惦记,diàn jì,"to be concerned about, keep thinking about",6
2935,典礼,diǎn lǐ,"celebration, ceremony",6
2936,典型,diǎn xíng,"typical case, model",6
2937,电源,diàn yuán,electric power source,6
2938,点缀,diǎn zhuì,"to intersperse, to embellish, to decorate",6
2939,叼,diāo,to hold by the teeth or lips,6
2940,吊,diào,"to hang, to suspend, to express condolence to",6
2941,调动,diào dòng,"to transfer, to maneuver (troops, etc.)",6
2942,雕刻,diāo kè,"carving, to carve, to engrave",6
2943,雕塑,diāo sù,"statue, sculpture, to carve",6
2944,跌,diē,"to drop, to fall down",6
2945,盯,dīng,"to gaze at, fix one's eyes on, to watch attentively",6
2946,定期,dìng qī,"regular, periodical",6
2947,定义,dìng yì,definition,6
2948,叮嘱,dīng zhǔ,"to exhort repeatedly, to urge",6
2949,丢人,diū rén,to lose face,6
2950,丢三落四,diū sān là sì,"forgetful, scatterbrained",6
2951,栋,dòng,"Measure, for houses, buildings",6
2952,动荡,dòng dàng,"turbulence, unrest (political), upheaval",6
2953,东道主,dōng dào zhǔ,host,6
2954,动机,dòng jī,"motive, intention, motivation",6
2955,冻结,dòng jié,"to freeze (loan, price, etc.), to block",6
2956,动静,dòng jing,"sound of movement, activity, happening",6
2957,动力,dòng lì,"power, driving force, motive power",6
2958,动脉,dòng mài,artery,6
2959,动身,dòng shēn,"to leave, to go on a journey",6
2960,董事长,dǒng shì zhǎng,"chairman of the board, president",6
2961,动手,dòng shǒu,"to start work, to begin, to hit with hands",6
2962,动态,dòng tài,"developments, trends",6
2963,洞穴,dòng xué,"cave, cavern",6
2964,动员,dòng yuán,"mobilization, to mobilize, to arouse",6
2965,东张西望,dōng zhāng xī wàng,"to peer in all directions, to look around",6
2966,兜,dōu,"pocket, bag, to wrap up (in clothes)",6
2967,陡峭,dǒu qiào,"steep, cliffy, precipitous",6
2968,斗争,dòu zhēng,"struggle, fight, to fight, to combat, to battle",6
2969,赌博,dǔ bó,"gambling, to gamble, to bet",6
2970,独裁,dú cái,"dictatorship, autocracy",6
2971,督促,dū cù,to urge sbd. to do sth.,6
2972,杜绝,dù jué,"to put an end to, to eliminate",6
2973,毒品,dú pǐn,"drugs, narcotics, dope",6
2974,堵塞,dǔ sè,"blockage, to cause an obstruction, to stop",6
2975,都市,dū shì,"city, metropolis",6
2976,端,duān,"extremity, end, point, to carry",6
2977,短促,duǎn cù,"short, brief (time)",6
2978,断定,duàn dìng,"to conclude, to come to a judgement",6
2979,断断续续,duàn duàn xù xù,"off and on, intermittently",6
2980,断绝,duàn jué,"to sever, to break off",6
2981,端午节,Duān wǔ jié,Dragon Boat Festival,6
2982,端正,duān zhèng,"upright, regular",6
2983,对策,duì cè,countermeasure,6
2984,对称,duì chèn,"symmetry, symmetrical",6
2985,对付,duì fu,"to deal with, to cope with",6
2986,兑换,duì huàn,"to convert, to exchange",6
2987,堆积,duī jī,"to pile up, to accumulate",6
2988,对抗,duì kàng,"resistance, confrontation, to withstand, to resist",6
2989,对立,duì lì,"to oppose, opposite, opposing",6
2990,对联,duì lián,rhyming couplet,6
2991,队伍,duì wu,"troops, ranks",6
2992,兑现,duì xiàn,"to cash (cheque, etc.)",6
2993,对应,duì yìng,"to correspond, corresponding, homologous",6
2994,对照,duì zhào,"comparison, to compare, to contrast",6
2995,顿时,dùn shí,"at once, immediately, suddenly",6
2996,堕落,duò luò,"to degenerate, to corrupt",6
2997,哆嗦,duō suo,"to tremble, to shiver, to quiver",6
2998,多元化,duō yuán huà,"diversification, pluralism",6
2999,恶化,è huà,to worsen,6
3000,额外,é wài,"extra, additional",6
3001,恶心,ě xin,"nausea, to feel sick",6
3002,遏制,è zhì,"to keep within limits, not letting the impact be too big",6
3003,恩怨,ēn yuàn,feeling of gratitude or resentment (at the same time),6
3004,耳环,ěr huán,earring,6
3005,二氧化碳,èr yǎng huà tàn,"carbon dioxide, CO2",6
3006,而已,ér yǐ,"that's all, nothing more",6
3007,发布,fā bù,"to release, to issue",6
3008,发财,fā cái,to get rich,6
3009,发呆,fā dāi,"to be lost in thought, to look absent-minded",6
3010,发动,fā dòng,"to start, to launch, to arouse",6
3011,发火,fā huǒ,"to catch fire, to ignite, to get angry",6
3012,发觉,fā jué,"to become aware, to find, to discover",6
3013,法人,fǎ rén,legal person,6
3014,发射,fā shè,"to start, to fire, to launch",6
3015,发誓,fā shì,"to vow, to swear",6
3016,发行,fā xíng,"to publish, to issue, to distribute, to release",6
3017,发炎,fā yán,"inflammation, to inflame, inflamed",6
3018,发扬,fā yáng,"to develop, to enhance",6
3019,发育,fā yù,"development, growth, to develop",6
3020,番,fān,"to take turns Measure, times",6
3021,反驳,fǎn bó,"to retort, to refute",6
3022,反常,fǎn cháng,"unusual, abnormal",6
3023,范畴,fàn chóu,category,6
3024,反倒,fǎn dào,"on the contrary, instead",6
3025,反动,fǎn dòng,reactionary,6
3026,反感,fǎn gǎn,"resentment, antipathy, disfavour",6
3027,繁华,fán huá,flourishing,6
3028,反抗,fǎn kàng,"to resist, to rebel",6
3029,反馈,fǎn kuì,feedback,6
3030,泛滥,fàn làn,"to flood, to overflow, to spread unchecked",6
3031,贩卖,fàn mài,"to sell, to peddle",6
3032,繁忙,fán máng,busy,6
3033,反面,fǎn miàn,"the other side, reverse side",6
