No,Chinese,Pinyin,English,Level
645,诚实,chéng shí,"honest, truthful",4
646,成熟,chéng shú,mature,4
647,成为,chéng wéi,"to become, to turn into",4
648,乘坐,chéng zuò,to ride (in a vehicle),4
649,吃惊,chī jīng,"to be startled, to be shocked, to be amazed",4
650,重新,chóng xīn,again,4
651,抽烟,chōu yān,"to smoke (a cigarette, etc.)",4
652,出差,chū chāi,to go on a business trip,4
653,出发,chū fā,"to leave, to set out",4
654,出生,chū shēng,to be born,4
655,传真,chuán zhēn,fax,4
656,窗户,chuāng hu,window,4
657,词典,cí diǎn,dictionary,4
658,从来,cóng lái,"always, ever since, at all times",4
659,粗心,cū xīn,"careless, thoughtless",4
660,答案,dá àn,"answer, solution",4
661,打扮,dǎ ban,"style of dressing, to decorate, to dress up",4
662,大概,dà gài,"probably, roughly",4
663,打扰,dǎ rǎo,to disturb,4
664,大使馆,dà shǐ guǎn,embassy,4
665,打印,dǎ yìn,"to print, to seal, to stamp",4
666,大约,dà yuē,approximately,4
667,打折,dǎ zhé,to give discount,4
668,打针,dǎ zhēn,to inject,4
669,戴,dài,"to put on, to wear, to respect, to support",4
670,代表,dài biǎo,"representative, to represent",4
671,大夫,dài fu,doctor,4
672,代替,dài tì,"replacement, to replace, to substitute, instead of",4
673,当,dāng,"to act as, to administer Auxiliary, should, ought, equal, when, during",4
674,当地,dāng dì,"locality, local",4
675,当时,dāng shí,"at that time, then",4
676,刀,dāo,knife,4
677,到处,dào chù,"everywhere, at all places",4
678,到底,dào dǐ,"finally, in the end",4
679,道歉,dào qiàn,to apologize,4
680,导游,dǎo yóu,tour guide,4
681,得意,dé yì,pleased with oneself,4
682,得,děi,"Auxiliary, to have to",4
683,等,děng,"etc., and so on",4
684,底,dǐ,"background, end, bottom, base",4
685,地球,dì qiú,earth (planet),4
686,地址,dì zhǐ,address,4
687,掉,diào,"to fall, to drop, to lose, to turn",4
688,调查,diào chá,"investigation, survey, to investigate, to survey",4
689,丢,diū,"to lose, to throw",4
690,动作,dòng zuò,movement,4
691,堵车,dǔ chē,traffic jam,4
692,肚子,dù zi,"belly, abdomen",4
693,断,duàn,"to cut off, to break, to judge, to decide, absolutely, definitely",4
694,对,duì,"for, to, towards",4
695,对话,duì huà,dialog,4
696,对面,duì miàn,opposite,4
697,顿,dùn,"pause, to stop, to pause, to arrange Measure, for meals, beatings, etc.",4
698,朵,duǒ,"Measure, for flowers, clouds, etc.",4
699,而,ér,"and, but, yet",4
700,儿童,ér tóng,child,4
701,发,fā,"to send out, to issue, to develop Measure, for gunshots",4
702,法律,fǎ lǜ,law,4
703,发生,fā shēng,"to happen, to occur, to take place",4
704,发展,fā zhǎn,"development, growth, to develop, to grow",4
705,反对,fǎn duì,"to fight against, to oppose",4
706,烦恼,fán nǎo,"worries, worried, troubled",4
707,范围,fàn wéi,"scope limit, range",4
708,翻译,fān yì,"translation, translator, to translate",4
709,反映,fǎn yìng,"reflection, to reflect, to mirror",4
710,方法,fāng fǎ,"method, way",4
711,方面,fāng miàn,"aspect, respect",4
712,放弃,fàng qì,to give up,4
713,放暑假,fàng shǔ jià,to take summer vacation,4
714,访问,fǎng wèn,"visit, to visit, to interview",4
715,方向,fāng xiàng,"direction, orientation",4
716,份,fèn,"part, share, portion, copy Measure, for newspaper, papers, reports, contracts",4
717,分之,fēn zhī,used for fractions and percentages,4
718,丰富,fēng fù,"rich, plentiful",4
719,风景,fēng jǐng,"scenery, landscape",4
720,否则,fǒu zé,otherwise,4
721,富,fù,rich,4
722,符合,fú hé,"to accord with, to conform to",4
723,父亲,fù qīn,father,4
724,复印,fù yìn,to (photo)copy,4
725,复杂,fù zá,"complicated, complex",4
726,负责,fù zé,to be responsible for,4
727,改变,gǎi biàn,to change,4
728,干,gàn,"to do, to work",4
729,干杯,gān bēi,Cheers!,4
730,感动,gǎn dòng,"to move sb., to touch (emotionally)",4
731,感觉,gǎn jué,"feeling, sense, to feel",4
732,感情,gǎn qíng,"emotion, feeling",4
733,感谢,gǎn xiè,"gratitude, to thank, to be grateful",4
734,干燥,gān zào,dry,4
735,刚刚,gāng gāng,"just now, a moment ago",4
736,高级,gāo jí,"high level, high grade, advanced",4
737,各,gè,"each, every",4
738,个子,gè zi,"height, stature",4
739,工具,gōng jù,"tool, utensil",4
740,公里,gōng lǐ,"kilometer Measure, for km",4
741,共同,gòng tóng,"common, joint, together",4
742,工资,gōng zī,"salary, wages",4
743,够,gòu,"to reach, to be enough, be enough, enough",4
744,购物,gòu wù,to go shopping,4
745,孤单,gū dān,"lone, lonely",4
746,估计,gū jì,to estimate,4
747,顾客,gù kè,"client, customer",4
748,鼓励,gǔ lì,"to encourage, to urge",4
749,故意,gù yì,"on purpose, deliberately",4
750,鼓掌,gǔ zhǎng,to applaud,4
751,挂,guà,to hang (up),4
752,关键,guān jiàn,"key, crucial point",4
753,管理,guǎn lǐ,"management, to manage",4
754,观众,guān zhòng,"audience, spectators",4
755,逛,guàng,to stroll,4
756,光,guāng,"light, ray, naked, only, merely",4
757,广播,guǎng bō,"broadcasting, to broadcast",4
758,广告,guǎng gào,"advertisement, to advertise",4
759,规定,guī dìng,"regulations, provision, to fix, to stipulate",4
760,过,guò,"to pass, to cross, to spend time",4
761,过程,guò chéng,"process, course",4
762,国际,guó jì,international,4
763,果然,guǒ rán,as expected,4
764,害羞,hài xiū,shy,4
765,海洋,hǎi yáng,ocean,4
766,汗,hàn,sweat,4
767,寒假,hán jià,winter vacation,4
768,航班,háng bān,"scheduled flight, flight number",4
769,好处,hǎo chu,"benefit, advantage",4
770,号码,hào mǎ,number,4
771,好像,hǎo xiàng,"to seem, to be like, look like",4
772,合格,hé gé,qualified,4
773,合适,hé shì,"suitable, appropriate",4
774,盒子,hé zi,"box, case",4
775,厚,hòu,"thick, deep",4
776,后悔,hòu huǐ,"to regret, to repent",4
777,后来,hòu lái,"afterwards, later",4
778,猴子,hóu zi,monkey,4
779,忽然,hū rán,suddenly,4
780,护士,hù shi,nurse,4
781,互相,hù xiāng,each other,4
782,怀疑,huái yí,"doubt, suspicion, to doubt, to suspect",4
783,回忆,huí yì,"recollection, to recall, to recollect",4
784,火,huǒ,fire,4
785,获得,huò dé,"to obtain, to acquire",4
786,活动,huó dòng,"activity, to move about, active",4
787,活泼,huó pō,"lively, vivid",4
788,寄,jì,"to send, to mail",4
789,基础,jī chǔ,"base, foundation, basis",4
790,激动,jī dòng,"to excite, exciting",4
791,集合,jí hé,"congregation, to gather, to assemble",4
792,计划,jì huà,"plan, project, program, to plan",4
793,积极,jī jí,"positive, active",4
794,积累,jī lěi,"accumulation, to accumulate",4
795,极其,jí qí,extremely,4
796,既然,jì rán,this being the case,4
797,及时,jí shí,"in time, without delay",4
798,即使,jí shǐ,"even if, even thoug",4
799,技术,jì shù,"technology, skill, technique",4
800,继续,jì xù,"continuation, to continue, to go on",4
801,记者,jì zhě,"reporter, journalist",4
802,假,jiǎ,"fake, false",4
803,加班,jiā bān,to work overtime,4
804,价格,jià gé,price,4
805,家具,jiā jù,furniture,4
806,加油站,jiā yóu zhàn,gas station,4
807,坚持,jiān chí,"to stick to, to persist in, to insist on",4
808,减肥,jiǎn féi,to lose weight,4
809,减少,jiǎn shǎo,"to reduce, to decrease",4
810,降低,jiàng dī,"to reduce, to lower",4
811,奖金,jiǎng jīn,"premium, award money, bonus",4
812,将来,jiāng lái,"future, in the future",4
813,交,jiāo,"to hand over, to intersect, to associate with",4
814,骄傲,jiāo ào,"to be proud of sth., arrogant, conceited",4
815,交流,jiāo liú,"communication, exchange, to exchange, to communicate",4
816,教授,jiào shòu,"professor, to instruct, to lecture on",4
817,交通,jiāo tōng,traffic,4
818,教育,jiào yù,"educatione, to teach",4
819,饺子,jiǎo zi,dumpling,4
820,结果,jié guǒ,"result, outcome, finally, at last",4
821,解释,jiě shì,"explanation, to explain",4
822,接受,jiē shòu,"to accept, to receive",4
823,节约,jié yuē,"to economize, to conserve",4
824,尽管,jǐn guǎn,"unhesitatingly, in spite of, although, despite",4
825,进行,jìn xíng,"to be in progress, be underway",4
826,紧张,jǐn zhāng,"nervous, tense, in short supply",4
827,禁止,jìn zhǐ,"to prohibit, to forbid, to ban",4
828,精彩,jīng cǎi,"brilliant, excellent, splendid",4
829,警察,jǐng chá,police,4
830,经济,jīng jì,economy,4
831,京剧,jīng jù,Beijing Opera,4
832,经历,jīng lì,"experience, to experience",4
833,竟然,jìng rán,unexpectedly,4
834,精神,jīng shén,"spirit, mind",4
835,经验,jīng yàn,"experience, to experience",4
836,竞争,jìng zhēng,"competition, to compete",4
837,镜子,jìng zi,mirror,4
838,究竟,jiū jìng,"after all, actually",4
839,举办,jǔ bàn,"to hold, to conduct",4
840,拒绝,jù jué,"to refuse, to decline",4
841,距离,jù lí,"distance, to be apart from",4
842,开玩笑,kāi wán xiào,"to play a joke, to make fun of",4
843,看法,kàn fǎ,"view, opinion",4
844,考虑,kǎo lǜ,"consideration, to think over, to consider",4
845,棵,kē,"Measure, for trees, plants, etc.",4
846,可怜,kě lián,"pitiful, poor, pathetic",4
847,可是,kě shì,but,4
848,咳嗽,ké sou,"cough, to cough",4
849,可惜,kě xī,"it is a pity, what a pity",4
850,科学,kē xué,"science, scientific",4
851,肯定,kěn dìng,"to affirm, to confirm, certain, definite, certainly, definitely",4
852,恐怕,kǒng pà,I'm afraid that,4
853,空气,kōng qì,"air, atmosphere",4
854,苦,kǔ,"bitter, miserable",4
855,宽,kuān,"wide, broad",4
856,困,kùn,"sleepy, tired",4
857,困难,kùn nan,"difficulty, problem, difficult",4
858,扩大,kuò dà,"to expand, to enlarge",4
859,辣,là,spicy,4
860,拉,lā,to pull,4
861,垃圾桶,lā jī tǒng,rubbish bin,4
862,来不及,lái bu jí,there's not enough time,4
863,来得及,lái de jí,there is still time to do sth.,4
864,懒,lǎn,lazy,4
865,浪费,làng fèi,to waste,4
866,浪漫,làng màn,romantic,4
867,老虎,lǎo hǔ,tiger,4
868,冷静,lěng jìng,"calm, cool-headed, quite",4
869,理发,lǐ fà,to have a haircut,4
870,厉害,lì hai,"awesome, terrible, strict, severe, difficult to deal with",4
871,理解,lǐ jiě,"comprehension, understanding, to comprehend, to understand",4
872,礼貌,lǐ mào,"politeness, courtesy",4
873,力气,lì qi,strength,4
874,例如,lì rú,for example,4
875,理想,lǐ xiǎng,"ideal, dream",4
876,俩,liǎ,two (people),4
877,连,lián,"to link, to join, to connect, even",4
878,联系,lián xì,"contact, connection, to contact",4
879,亮,liàng,"to shine, to show, to reveal, bright, clear, shiny",4
880,凉快,liáng kuai,pleasantly cool,4
881,聊天,liáo tiān,to chat,4
882,另外,lìng wài,"in addition, morover, furthermore",4
883,留,liú,"to keep, to remain, to stay, to leave (a message, etc.)",4
884,流泪,liú lèi,to shed tears,4
885,流利,liú lì,fluent,4
886,流行,liú xíng,"to spread, popular, fashionable",4
887,留学,liú xué,to study abroad,4
888,律师,lǜ shī,lawyer,4
889,乱,luàn,"disorder, to cause disorder, in a mess, confused",4
890,麻烦,má fan,"to trouble sb., troublesome",4
891,马虎,mǎ hu,"careless, negligent, casual",4
892,满,mǎn,"to fill, to satisfy, full, satisfied",4
893,毛巾,máo jīn,towel,4
894,美丽,měi lì,beautiful,4
895,梦,mèng,dream,4
896,密码,mì mǎ,password,4
897,免费,miǎn fèi,free (of charge),4
898,民族,mín zú,"nationality, ethnic group",4
899,目的,mù dì,"purpose, aim",4
900,母亲,mǔ qīn,mother,4
901,耐心,nài xīn,"patience, patient",4
902,难道,nán dào,"don't tell me ..., is it possible that ...",4
903,难受,nán shòu,to be difficult to bear,4
904,内,nèi,"inside, inner",4
905,内容,nèi róng,"content, substance",4
906,能力,néng lì,"ability, capability",4
907,年龄,nián líng,age (of a person),4
908,弄,nòng,"to do, to make",4
909,农村,nóng cūn,"village, rural area",4
910,暖和,nuǎn huo,warm,4
911,偶尔,ǒu ěr,occasionally,4
912,排列,pái liè,"arrangement, permutation , to arrange, to put in order",4
913,判断,pàn duàn,"decision, judgement, to decide, to judge",4
914,陪,péi,to accompany,4
915,皮肤,pí fū,skin,4
916,批评,pī píng,"criticism, to criticize",4
917,脾气,pí qi,"temperament, temper",4
918,骗,piàn,"to cheat, to swindle",4
919,篇,piān,"Measure, for chapters, articles, etc.",4
920,乒乓球,pīng pāng qiú,table tennis,4
921,平时,píng shí,"in peacetime, normally",4
922,瓶子,píng zi,bottle,4
923,破,pò,"to break, to destroy, broken, damaged",4
924,普遍,pǔ biàn,"universal, general",4
925,其次,qí cì,"next, secondary, secondly",4
926,起飞,qǐ fēi,to take off,4
927,气候,qì hòu,"climate, atmosphere",4
928,起来,qǐ lái,"to stand up, to get up",4
929,其中,qí zhōng,"among, in",4
930,千万,qiān wàn,"10 million, countless, many, must, be sure to",4
931,签证,qiān zhèng,visa,4
932,墙,qiáng,wall,4
933,桥,qiáo,bridge,4
934,敲,qiāo,to knock,4
935,巧克力,qiǎo kè lì,chocolate,4
936,亲戚,qīn qi,relatives,4
937,轻,qīng,"light, small in number, unimportant",4
938,请假,qǐng jià,to ask for leave,4
939,请客,qǐng kè,to invite sb. for dinner,4
940,情况,qíng kuàng,"circumstance, situation",4
941,轻松,qīng sōng,"relaxed, easy",4
942,穷,qióng,poor,4
943,取,qǔ,"to take, to get",4
944,区别,qū bié,"difference, to distinguish",4
945,全部,quán bù,"whole, entire, complete",4
946,却,què,"but, yet",4
947,缺点,quē diǎn,"weakness, shortcoming",4
948,缺少,quē shǎo,"lack, shortage, to lack, to be short of",4
949,确实,què shí,"indeed, really, for sure, indeed",4
950,群,qún,"Measure, for group, crowd, etc.",4
951,然而,rán ér,"however, but",4
952,热闹,rè nao,"lively, busy",4
953,任何,rèn hé,"any, whichever, whatever",4
954,人民币,rén mín bì,"RMB, Chinese Yuan",4
955,任务,rèn wu,"mission, task",4
956,扔,rēng,to throw (away),4
957,仍然,réng rán,"still, yet",4
958,日记,rì jì,diary,4
959,入口,rù kǒu,entrance,4
960,软,ruǎn,soft,4
961,散步,sàn bù,to take/to go for a walk,4
962,森林,sēn lín,forest,4
963,沙发,shā fā,sofa,4
964,商量,shāng liang,"to consult, to discuss",4
965,伤心,shāng xīn,"sad, grievous, brokenhearted",4
966,稍微,shāo wēi,a little bit,4
967,社会,shè huì,society,4
968,深,shēn,"deep, dark (color, etc.)",4
969,申请,shēn qǐng,"application, to apply for",4
970,甚至,shèn zhì,even,4
971,剩,shèng,to remain,4
972,省,shěng,"province, to save, to omit",4
973,生活,shēng huó,"lif, to live",4
974,生命,shēng mìng,life,4
975,试,shì,"experiment, examination, test, to test, to attempt",4
976,失败,shī bài,"defeat, failure, to lose, to be defeated",4
977,市场,shì chǎng,market,4
978,十分,shí fēn,"very, completely, fully, utterly, absolutely",4
979,师傅,shī fu,"master, teacher, used to respectfully address older men",4
980,适合,shì hé,"to fit, to suit",4
981,实际,shí jì,"reality, practice, realistic, practical",4
982,世纪,shì jì,century,4
983,食品,shí pǐn,food,4
984,湿润,shī rùn,"moist, humid",4
985,失望,shī wàng,"disappointment, to lose hope, disappointed",4
986,适应,shì yìng,"to fit, to suit, to adabt",4
987,使用,shǐ yòng,to use,4
988,实在,shí zài,"real, true, really, in fact",4
989,狮子,shī zi,lion,4
990,收,shōu,"to accept, to receive",4
991,受不了,shòu bù liǎo,unbearable,4
992,受到,shòu dào,"to receive, to suffer",4
993,首都,shǒu dū,capital city,4
994,售货员,shòu huò yuán,salesperson,4
995,收入,shōu rù,"income, revenue, to take in",4
996,收拾,shōu shi,"to put in order, to tidy up, to punish",4
997,首先,shǒu xiān,first of all,4
998,输,shū,"to transport, to lose, to be beaten",4
999,数量,shù liàng,"amount, quantity",4
1000,熟悉,shú xī,to be familiar with,4
1001,数字,shù zì,"figure, number",4
1002,帅,shuài,"handsome, smart (for men)",4
1003,顺便,shùn biàn,"on the way, in passing by",4
1004,顺利,shùn lì,smoothly,4
1005,顺序,shùn xù,"sequence, order",4
1006,说明,shuō míng,"explanation, illustration, to explain, to illustrate",4
1007,硕士,shuò shì,master's degree,4
1008,死,sǐ,"death, to die, dead",4
1009,速度,sù dù,speed,4
1010,塑料袋,sù liào dài,plastic bag,4
1011,算,suàn,to calculate,4
1012,酸,suān,sour,4
1013,随便,suí biàn,"random, as one wishes",4
1014,随着,suí zhe,"along with, in the wake of",4
1015,孙子,sūn zi,grandson,4
1016,所有,suǒ yǒu,"to possess, to own, all",4
1017,台,tái,"desk, platform Measure, for vehicles, machinese, etc.",4
1018,抬,tái,"to lift up, to raise, to carry",4
1019,态度,tài du,"manner, attitude",4
1020,谈,tán,to talk,4
1021,弹钢琴,tán gāng qín,to play the piano,4
1022,趟,tàng,"Measure, for number of trips or runs made",4
1023,躺,tǎng,"to lie (down), to recline",4
1024,汤,tāng,soup,4
1025,讨论,tǎo lùn,"discussion, to discuss",4
1026,讨厌,tǎo yàn,"to hate , disgusting, nasty",4
1027,特点,tè diǎn,characteristic feature,4
1028,提供,tí gōng,"to offer, to supply, to provide",4
1029,提前,tí qián,"to bring forward, to advance",4
1030,提醒,tí xǐng,"to remind, to call attention to",4
1031,填空,tián kòng,"to fill in (questionnaire, etc.)",4
1032,条件,tiáo jiàn,"condition, circumstances",4
1033,挺,tǐng,"to stick out, to stand straight, quite, very, rather Measure, for machine guns",4
1034,停止,tíng zhǐ,"to stop, to halt",4
1035,通过,tōng guò,"to pass through, to get through, via, by",4
1036,同情,tóng qíng,"sympathy, compassion, to sympathize",4
1037,通知,tōng zhī,"notice, to notify, to inform",4
1038,推,tuī,to push,4
1039,推迟,tuī chí,"to postpone, to defer",4
1040,脱,tuō,"to take off, to shed",4
1041,袜子,wà zi,"socks, stockings",4
1042,完全,wán quán,"complete, whole, entire",4
1043,往,wǎng,"to go, towards, to",4
1044,网球,wǎng qiú,tennis,4
1045,往往,wǎng wǎng,often,4
1046,网站,wǎng zhàn,website,4
1047,味道,wèi dào,"taste, flavour",4
1048,危险,wēi xiǎn,"danger, dangerous",4
1049,温度,wēn dù,temperature,4
1050,文章,wén zhāng,"article, essay",4
1051,握手,wò shǒu,to shake hands,4
1052,无,wú,not,4
1053,误会,wù huì,"misunderstanding, to misunderstand",4
1054,无聊,wú liáo,"boring, bored",4
1055,无论,wú lùn,no matter how/what,4
1056,污染,wū rǎn,"pollution, contamination, to pollute, to contaminate",4
1057,西红柿,xī hóng shì,tomato,4
1058,洗衣机,xǐ yī jī,washing machine,4
1059,吸引,xī yǐn,"to attract (interest, customers, etc.)",4
1060,咸,xián,salty,4
1061,现代,xiàn dài,"modern times, the contemporary age",4
1062,羡慕,xiàn mù,"to envy, to admire",4
1063,限制,xiàn zhì,"restriction, limit, to restrict, to limit",4
1064,响,xiǎng,"sound, noise, to make a sound, loud, noisy",4
1065,香,xiāng,fragrang,4
1066,相反,xiāng fǎn,"opposite, contrary",4
1067,详细,xiáng xì,detailed,4
1068,效果,xiào guǒ,"effect, result",4
1069,笑话,xiào hua,joke,4
1070,小说,xiǎo shuō,"novel, fiction",4
1071,消息,xiāo xi,"news, information",4
1072,辛苦,xīn kǔ,"hard, toilsome",4
1073,心情,xīn qíng,"mood, state of mind",4
1074,信任,xìn rèn,"trust, to trust",4
1075,信心,xìn xīn,"confidence, faith",4
1076,信用卡,xìn yòng kǎ,credit card,4
1077,行,xíng,"to walk, to go, capable, competent, OK",4
1078,醒,xǐng,to wake up,4
1079,性别,xìng bié,"gender, sex",4
1080,兴奋,xīng fèn,"excitement, excited",4
1081,幸福,xìng fú,"happiness, happy",4
1082,性格,xìng gé,"nature, temperament, character",4
1083,修,xiū,"to mend, to repair",4
1084,许多,xǔ duō,"many, a lot of",4
1085,血,xuè,blood,4
1086,呀,ya,expressing surprise or doubt,4
1087,牙膏,yá gāo,toothpaste,4
1088,压力,yā lì,preassure,4
1089,亚洲,Yà zhōu,Asia,4
1090,盐,yán,salt,4
1091,演出,yǎn chū,"performance, show, to perform, to put ona show",4
1092,严格,yán gé,"strict, rigorous",4
1093,研究生,yán jiū shēng,"graduate, postgraduate or research student",4
1094,演员,yǎn yuán,"performer, actor",4
1095,严重,yán zhòng,"grave, serious, critical",4
1096,养成,yǎng chéng,"to cultivate, to form, to acquire",4
1097,阳光,yáng guāng,sunshine,4
1098,样子,yàng zi,"appearance, manner",4
1099,邀请,yāo qǐng,"invitation, to invite",4
1100,钥匙,yào shi,key,4
1101,页,yè,"page, leaf Measure, for a page",4
1102,也许,yě xǔ,"perhaps, maybe",4
1103,叶子,yè zi,leaf,4
1104,亿,yì,100 million,4
1105,以,yǐ,"because of, so as to, in order to",4
1106,意见,yì jiàn,"opinion, view, objection",4
1107,一切,yí qiè,"all, everything",4
1108,艺术,yì shù,art,4
1109,因此,yīn cǐ,"thus, consequently",4
1110,饮料,yǐn liào,"drink, beverage",4
1111,引起,yǐn qǐ,"to give rise to, to lead to",4
1112,印象,yìn xiàng,impression,4
1113,赢,yíng,"to win, to beat",4
1114,硬,yìng,"hard, stiff, firm",4
1115,勇敢,yǒng gǎn,"brave, courageous",4
1116,永远,yǒng yuǎn,"forever, ever",4
1117,由,yóu,"due to, because of, by, from",4
1118,优点,yōu diǎn,"merit, advantage, strong point",4
1119,友好,yǒu hǎo,friendly,4
1120,幽默,yōu mò,"humor, humorous",4
1121,尤其,yóu qí,"especially, particularly",4
1122,有趣,yǒu qù,interesting,4
1123,优秀,yōu xiù,"outstanding, excellent",4
1124,友谊,yǒu yì,friendship,4
1125,由于,yóu yú,"due to, because of",4
1126,与,yǔ,"and, with",4
1127,语法,yǔ fǎ,grammar,4
1128,愉快,yú kuài,"happy, cheerful",4
1129,羽毛球,yǔ máo qiú,badminton,4
1130,于是,yú shì,"as a result, consequently",4
1131,预习,yù xí,to prepare for (a lesson),4
1132,语言,yǔ yán,language,4
1133,圆,yuán,"circle, circular, round",4
1134,原来,yuán lái,"former, original, as it turns out",4
1135,原谅,yuán liàng,"to excuse, to forgive",4
1136,原因,yuán yīn,"reason, cause",4
1137,阅读,yuè dú,"reading, to read",4
1138,约会,yuē huì,"appointment, engagement, date",4
1139,允许,yǔn xǔ,"to permit, to allow",4
1140,杂志,zá zhì,magazine,4
1141,咱们,zán men,"we, us",4
1142,暂时,zàn shí,temporary,4
1143,脏,zāng,dirty,4
1144,责任,zé rèn,"duty, responsibility",4
1145,增加,zēng jiā,"to increase, to raise",4
1146,增长,zēng zhǎng,"increase, growth, to increase, to grow",4
1147,窄,zhǎi,narrow,4
1148,招聘,zhāo pìn,"recruitment, job advertisement, to recruit",4
1149,真正,zhēn zhèng,"genuine, real, true",4
1150,正常,zhèng cháng,"regular, normal, ordinary",4
1151,正好,zhèng hǎo,"just right, just at the right time",4
1152,整理,zhěng lǐ,"to arrange, to tidy up",4
1153,证明,zhèng míng,"proof, certificate, testimonial, to prove, to testify",4
1154,整齐,zhěng qí,"neat, tidy, in good order",4
1155,正确,zhèng què,"correct, proper",4
1156,正式,zhèng shì,"formal, official",4
1157,指,zhǐ,"finger, to point at or to, to indicate",4
1158,之,zhī,"I, he, she it, ..., similar to 的",4
1159,只,zhī,"Measure, for birds and animals, a pair of things, parts of the body, etc.",4
1160,支持,zhī chí,"support, backing, to support, to back",4
1161,值得,zhí dé,"to be worth, to deserve",4
1162,只好,zhǐ hǎo,have to,4
1163,直接,zhí jiē,"direct, immediate",4
1164,质量,zhì liàng,quality,4
1165,至少,zhì shǎo,at least,4
1166,知识,zhī shi,knowledge,4
1167,植物,zhí wù,plant,4
1168,只要,zhǐ yào,"if only, as long as",4
1169,职业,zhí yè,"occupation, profession",4
1170,制造,zhì zào,"to make, to manufacture",4
1171,重点,zhòng diǎn,"emphasis, focal point, priority",4
1172,重视,zhòng shì,"to value, to attach importance to",4
1173,中文,Zhōng wén,Chinese language,4
1174,周围,zhōu wéi,"surroundings, environment, around, about",4
1175,猪,zhū,pig,4
1176,主动,zhǔ dòng,"to take the initiative, active",4
1177,祝贺,zhù hè,"congratulations, to congratulate",4
1178,逐渐,zhú jiàn,gradually,4
1179,著名,zhù míng,"famous, well-known",4
1180,主意,zhǔ yi,"idea, plan, decision",4
1181,赚,zhuàn,"to earn, to make a profit",4
1182,专门,zhuān mén,"special, specialized, specialized",4
1183,专业,zhuān yè,"speciality, major, field of study",4
1184,撞,zhuàng,"to hit, to bump against, to collide, to run into",4
1185,准确,zhǔn què,"accurate, precise, exact",4
1186,准时,zhǔn shí,"on time, punctual",4
1187,自然,zì rán,"nature, natural",4
1188,仔细,zǐ xì,"careful, attentive, cautious",4
1189,总结,zǒng jié,"summary, to sum up",4
1190,租,zū,"to rent, to hire",4
1191,组成,zǔ chéng,"composition, to form, to compose, to constitute",4
1192,组织,zǔ zhī,"organisation, to organize",4
1193,嘴,zuǐ,mouth,4
1194,最好,zuì hǎo,"it would be best, had better",4
1195,最后,zuì hòu,"finally, at last",4
1196,尊重,zūn zhòng,"respect, esteem, to respect, to honor",4
1197,座,zuò,"seat Measure, for cities, buildings, mountains, etc.",4
1198,做生意,zuò shēng yi,to do business,4
1199,座位,zuò wèi,"seat, place",4
1200,作者,zuò zhě,"author, writer",4
