No ,Chinese,Pinyin,English,Level
359,冬,dōng,winter,3
360,动物,dòng wù,animal,3
361,段,duàn,"Measure, for paragraphs, segments, periods, stories",3
362,短,duǎn,"short, brief",3
363,锻炼,duàn liàn,"to exercise, to engage in physical exercise",3
364,多么,duō me,"how, what",3
365,饿,è,hungry,3
366,耳朵,ěr duo,ear,3
367,而且,ér qiě,"moreover, in addition, furthermore",3
368,发烧,fā shāo,to have fever,3
369,发现,fā xiàn,"to discover, to find",3
370,放,fàng,"to let go, to put, have a vacation",3
371,方便,fāng biàn,convenient,3
372,放心,fàng xīn,"to rest, to be at ease",3
373,分,fēn,"minute, point, 0.01 yuan, to divide, to distinguish",3
374,附近,fù jìn,"vicinity, nearby, next to",3
375,复习,fù xí,"revision, to revise",3
376,敢,gǎn,"Auxiliary, to dare",3
377,干净,gān jìng,"clean, tidy",3
378,感冒,gǎn mào,"common cold, to catch a cold",3
379,刚才,gāng cái,just a moment ago,3
380,跟,gēn,"to follow, with, and",3
381,根据,gēn jù,"basis, foundation, to base on, according to, based on",3
382,更,gèng,even more,3
383,公园,gōng yuán,park,3
384,故事,gù shi,"story, tale",3
385,刮风,guā fēng,to be windy,3
386,关,guān,"mountain pass, barrier, to close, to shut, to turn off",3
387,关系,guān xì,"relationship, relation, to affect, to have to do with",3
388,关心,guān xīn,"concern, to care for",3
389,关于,guān yú,"concerning, with regards to, about",3
390,国家,guó jiā,"country, state, nation",3
391,过去,guò qù,"to go over, to pass by, past, former",3
392,果汁,guǒ zhī,fruit juice,3
393,害怕,hài pà,"to be afraid, to fear",3
394,还是,hái shì,"still, nevertheless, or",3
395,河,hé,river,3
396,黑板,hēi bǎn,blackboard,3
397,护照,hù zhào,passport,3
398,画,huà,"picture, painting, to draw, to paint",3
399,花,huā,"flower, to spend",3
400,花园,huā yuán,garden,3
401,坏,huài,"bad, broken, spoiled",3
402,还,huán,"to give back, to return",3
403,换,huàn,"to change, to exchange",3
404,环境,huán jìng,"environment, surroundings",3
405,黄,huáng,"to fall through, yellow, pornographic",3
406,会议,huì yì,"meeting, conference",3
407,或者,huò zhě,"or, possibly",3
408,极,jí,"pole, extremely, highly",3
409,记得,jì de,to remember,3
410,几乎,jī hū,"almost, nearly",3
411,机会,jī huì,"opportunity, chance",3
412,季节,jì jié,"season, period",3
413,检查,jiǎn chá,"inspection, to check, to inspect, to examine",3
414,简单,jiǎn dān,"simple, uncomplicated",3
415,健康,jiàn kāng,"health, healthy",3
416,见面,jiàn miàn,"to meet, to see sb.",3
417,讲,jiǎng,"speech, lecture, to speak, to explain, to negotiate",3
418,脚,jiǎo,foot,3
419,角,jiǎo,"angle, corner, horn Measure, for 0.1 yuan",3
420,教,jiāo,"to teach, to instruct",3
421,借,jiè,"to lend, to borrow, to make use of (an opportunity)",3
422,接,jiē,"to receive, to meet, to connect, to catch",3
423,街道,jiē dào,street,3
424,结婚,jié hūn,"marriage, wedding, to marry",3
425,解决,jiě jué,"to settle (dispute), to resolve, to solve",3
426,节目,jié mù,"program, item",3
427,节日,jié rì,"holiday, festival",3
428,结束,jié shù,"termination, end, to finish, to end, to conclude",3
429,经常,jīng cháng,"often, frequently",3
430,经过,jīng guò,"to pass, to go through, after, as a result of",3
431,经理,jīng lǐ,"manager, director",3
432,旧,jiù,"old, used, worn",3
433,久,jiǔ,long (time),3
434,举行,jǔ xíng,"to hold (meeting, etc.)",3
435,句子,jù zi,sentence,3
436,决定,jué dìng,"decision, to decide",3
437,刻,kè,"to cut, to carve Measure, for quarter of an hour",3
438,渴,kě,thirsty,3
439,可爱,kě ài,"cute, lovely",3
440,客人,kè rén,"guest, customer, visitor",3
441,空调,kōng tiáo,air conditioning,3
442,口,kǒu,"mouth Measure, for things with mouths or a mouth full of",3
443,哭,kū,"to cry, to weep",3
444,裤子,kù zi,trousers,3
445,筷子,kuài zi,chopsticks,3
446,蓝,lán,blue,3
447,老,lǎo,"old, always",3
448,离开,lí kāi,"to depart, to leave",3
449,历史,lì shǐ,history,3
450,礼物,lǐ wù,"gift, present",3
451,脸,liǎn,face,3
452,练习,liàn xí,"exercise, practice, to practice",3
453,辆,liàng,"Measure, for vehicles",3
454,了解,liǎo jiě,to understand,3
455,邻居,lín jū,neighbor,3
456,楼,lóu,"storied building Measure, for floor",3
457,绿,lǜ,green,3
458,马,mǎ,horse,3
459,马上,mǎ shàng,"immediately, at once",3
460,满意,mǎn yì,"to satisfy, satisfied",3
461,帽子,mào zi,"hat, cap",3
462,米,mǐ,"rice Measure, for meter",3
463,面包,miàn bāo,bread,3
464,面条,miàn tiáo,noodles,3
465,明白,míng bai,"to understand, clear, obvious",3
466,拿,ná,"to hold, to seize",3
467,奶奶,nǎi nai,grandmother (father's mother),3
468,南,nán,south,3
469,难,nán,difficult,3
470,难过,nán guò,"to feel sorry, sad",3
471,年级,nián jí,"grade, year",3
472,年轻,nián qīng,young,3
473,鸟,niǎo,bird,3
474,努力,nǔ lì,"great effort, to strive, to work/study hard, hard, hardworking",3
475,爬山,pá shān,"hiking, to climb a mountain",3
476,盘子,pán zi,"tray, plate, dish",3
477,胖,pàng,"fat, plump",3
478,啤酒,pí jiǔ,beer,3
479,葡萄,pú tao,grape,3
480,普通话,pǔ tōng huà,Mandarin,3
481,骑,qí,to ride (animal or bike),3
482,奇怪,qí guài,strange,3
483,其实,qí shí,"actually, in fact",3
484,其他,qí tā,"other, others",3
485,铅笔,qiān bǐ,pencil,3
486,清楚,qīng chu,"clear, distinct",3
487,秋,qiū,"autumn, fall",3
488,裙子,qún zi,skirt,3
489,然后,rán hòu,"then, afterwards",3
490,热情,rè qíng,"enthusiasm, passion, enthusiastic, passionate, cordial",3
491,认为,rèn wéi,"to think, to believe, to consider",3
492,认真,rèn zhēn,"conscientious, earnest, serious",3
493,容易,róng yì,easy,3
494,如果,rú guǒ,if,3
495,伞,sǎn,umbrella,3
496,上网,shàng wǎng,to be on the internet,3
497,生气,shēng qì,"to be/get angry, angry, mad",3
498,声音,shēng yīn,"voice, sound",3
499,使,shǐ,"envoy, messenger, to make, to cause, to use, to employ",3
500,世界,shì jiè,world,3
501,瘦,shòu,"thin, slim",3
502,树,shù,tree,3
503,舒服,shū fu,comfortable,3
504,叔叔,shū shu,uncle,3
505,数学,shù xué,mathematics,3
506,刷牙,shuā yá,to brush teeth,3
507,双,shuāng,"two, pair, both Measure, for a pair (of shoes, etc.)",3
508,水平,shuǐ píng,"level, standard, horizontal",3
509,司机,sī jī,driver,3
510,虽然,suī rán,although,3
511,太阳,tài yáng,sun,3
512,糖,táng,"sugar, sweets, candy",3
513,特别,tè bié,"special, particular",3
514,疼,téng,"pain, to ache, to hurt",3
515,提高,tí gāo,"to raise, to increase",3
516,体育,tǐ yù,sports,3
517,甜,tián,sweet,3
518,条,tiáo,"strip, clause Measure, for long thin things",3
519,同事,tóng shì,colleague,3
520,同意,tóng yì,"to agree, to consent, to approve",3
521,头发,tóu fa,hair (on the head),3
522,突然,tū rán,"sudden, abrupt, suddenly, unexpectedly",3
523,图书馆,tú shū guǎn,library,3
524,腿,tuǐ,leg,3
525,万,wàn,10000,3
526,碗,wǎn,bowl,3
527,完成,wán chéng,"to complete, to accomplish",3
528,忘记,wàng jì,to forget,3
529,为,wèi,"to do, to act, to be, to become, for (sb.)",3
530,位,wèi,"position, place, seat Measure, for people",3
531,为了,wèi le,"for, in order to",3
532,文化,wén huà,culture,3
533,西,xī,west,3
534,习惯,xí guàn,"habit, usual practice, custom, to be/get used to",3
535,洗手间,xǐ shǒu jiān,toilet,3
536,洗澡,xǐ zǎo,"to take a shower, to have a bath",3
537,夏,xià,summer,3
538,先,xiān,"early, former, first, before",3
539,像,xiàng,"picture, portrait, be/look like, to appear, to seem",3
540,香蕉,xiāng jiāo,banana,3
541,相同,xiāng tóng,"identical, same",3
542,相信,xiāng xìn,"to believe in, have faith in",3
543,小心,xiǎo xīn,"to be careful, careful, Take care!",3
544,校长,xiào zhǎng,"headmaster, president (university)",3
545,鞋,xié,shoe,3
546,信,xìn,"letter, trust, to believe, to trust",3
547,新闻,xīn wén,news,3
548,新鲜,xīn xiān,"fresh (food, experience, etc.)",3
549,行李箱,xíng li xiāng,suitcase,3
550,兴趣,xìng qù,interest,3
551,熊猫,xióng māo,panda,3
552,需要,xū yào,"needs, to need, to want",3
553,选择,xuǎn zé,"choice, option, to choose, to select",3
554,眼镜,yǎn jìng,eyeglasses,3
555,要求,yāo qiú,"demand, requirement, to require, to demand",3
556,爷爷,yé ye,grandfather (father's father),3
557,一般,yì bān,"ordinary, general, common, in general, generally",3
558,一边,yì biān,"one side, on the one hand",3
559,一定,yí dìng,"definite, fixed, given, surely, certainly",3
560,一共,yí gòng,althogether,3
561,以后,yǐ hòu,"after, afterwards",3
562,一会儿,yí huì r,"a while, in a moment, a little while",3
563,以前,yǐ qián,"before, previous, formerly",3
564,以为,yǐ wéi,"to think (wrongly), to be under the (wrong) impression",3
565,一样,yí yàng,"alike, equal to",3
566,一直,yī zhí,"always, continuously, straight",3
567,银行,yín háng,bank (for money),3
568,音乐,yīn yuè,music,3
569,应该,yīng gāi,"Auxiliary, should, ought to",3
570,影响,yǐng xiǎng,"influence, effect, to influence, to affect",3
571,用,yòng,"to use, to employ, to apply",3
572,又,yòu,again,3
573,有名,yǒu míng,"famous, well known",3
574,游戏,yóu xì,"game, play",3
575,遇到,yù dào,"to meet, to run into",3
576,愿意,yuàn yì,"Auxiliary, to be willing, be ready, to wish, to want",3
577,越,yuè,"to exceed, to climb over, to surpass",3
578,月亮,yuè liang,moon,3
579,云,yún,cloud,3
580,站,zhàn,"station, stop, to stand, to stop, to halt",3
581,长,zhǎng,"chief, head, to grow, to develop",3
582,照顾,zhào gù,"to take care of, to look after",3
583,着急,zháo jí,to worry,3
584,照片,zhào piàn,"photo, picture",3
585,照相机,zhào xiàng jī,camera,3
586,只,zhǐ,"only, just, merely",3
587,种,zhǒng,"species, race, breed Measure, type, kind, sort or for languages",3
588,中间,zhōng jiān,"between, in the middle, mid",3
589,重要,zhòng yào,important,3
590,终于,zhōng yú,"at last, finally, eventually",3
591,周末,zhōu mò,weekend,3
592,祝,zhù,"to wish, to express good wishes",3
593,主要,zhǔ yào,"main, principal, major",3
594,注意,zhù yì,to pay attention to,3
595,字典,zì diǎn,"dictionary, character book",3
596,自己,zì jǐ,"oneself, self",3
597,总是,zǒng shì,always,3
598,最近,zuì jìn,"recently, lately, soon",3
599,作业,zuò yè,"homework, task, work",3
600,作用,zuò yòng,"action, function, impact, effect, to affect",3
